FILTHY BRAVERY bum
GRIND CONDEMN bump
PLANT DISGUISE bush
STATISTICS CUFF business
DOWNTOWN CAPTURE busy
POPCORN PRONOUN butter
MONARCH SON butterfly
HAIL DROWSY cab
SPINACH DECISION cabbage
LOG UNDER cabin
MEDICINE UNEQUAL cabinet
DESERT JUMPY cactus
BAKER YARD cake
MEASURE RUNNING calculate
PAGE BRAND call
ENRAGE HEAVY calm
MEDIA EXCUSE camera
BOOT SONIC camp
EMPTY EXPENSE can
LUNG TENOR cancer
BIRTHDAY JOKER candle
TART BUD candy
CUPBOARD CAKE cans
IMPOSSIBLE PRAY can't
COMPETENCE PURCHASE capability
PETROLEUM DISHONEST car
STAMP STADIUM card
GAMBLE HORN cards
HEALTH BAIT care
TACTFUL CAFE careful
GIVING BRAIN caring
PLUSH FIN carpet
TURNIP PLAYING carrot
TOW LOYALTY carry
FLEET THIRD cars
CHECK THROAT cash
SAND POSSIBLE castle
RAT DESK cat
METHODIST STUDY catholic
BIRDS SPINACH cats
PICKET POUNCE cause
DISCREET GOODNESS cautious
CAVITY BLOCKS cave
BRAIN SNAIL cell
CENTRAL ROMANCE center
BREAKFAST REARRANGE cereal
GRADUATION VIKING ceremony
KEYS TOY chain
LAWN ANISETTE chair
BOARD ORCHID chalk
LAST NUCLEAR chance
DOLLARS FUNNY change
ANARCHY PUSHY chaos
QUALITY GRAY characteristic
EXPENSE TRAVEL cheap
BETRAY ERASER cheat
PAY VANILLA check
MELT PULL cheese
SUBSTANCE STRIPES chemistry
BREAST PERSONAL chest
MUNCH EDUCATION chew
BONE SOFA chicken
INDIAN TEACHER chief
NEEDY RULER child
BLOCKS HEAT children
EMPIRE SCALES china
CHISEL SUPPORT chip
SPRINKLE SAILOR chocolate
DECIDE RICH choice
PREFER SMASH choose
LORD IMAGINE christ
DECORATION COUPLE christmas
WORSHIP MOLTEN church
MARIJUANA EINSTEIN cigarette
SPIN JOINT circle
PARADE AWESOME circus
SLUM HOUND city
SHELL TESTIFY clam
ENDLESS NAPKIN class
CRAFTS ENJOY clay
DUSTPAN STICKER clean
PIPE IDEAL cleaner
CRYSTAL SORORITY clear
BLUFF DECEPTION cliff
TEMPERATURE CLIPPERS climate
ASCENT CHISEL climb
HEDGE NET clipper
SNOOZE MONTH clock
BOLT DENT close
CURTAINS MOMENT closed
WINDING WEIGH closing
TOWEL SHIP cloth
COSTUME LEADERSHIP clothes
CLEAR TRUST cloudy
BALLOON SACRED clown
COMEDY DISTURB club
