cue,target,fsg,bsg,msg,qcon,tcon,qfr,tfr,jcn,lsa
achievement,a,0.02,0,0.011,3.15,NULL,65,9999,9.361017,0.203535
achievement,award,0.081,0.021,0,3.15,4.58,65,46,10.364628,0.076963
achievement,college,0.013,0,0.002,3.15,5.35,65,267,13.840639,0.22521
achievement,degree,0.013,0,0,3.15,NULL,65,125,10.677943,0.198609
achievement,failure,0.034,0,0.052,3.15,2.56,65,89,6.914386,0.372644
achievement,goal,0.221,0,0.009,3.15,3.4,65,60,5.21303,0.252961
achievement,grade,0.04,0,0.002,3.15,3.7,65,35,11.71015,0.425267
achievement,honor,0.034,0.014,0.008,3.15,1.75,65,66,10.606028,0.075375
achievement,money,0.013,0,0.023,3.15,5.77,65,265,13.217198,0.047452
achievement,pride,0.02,0,0.006,3.15,1.49,65,42,10.71157,0.121308
achievement,success,0.161,0.02,0.011,3.15,2.88,65,93,2.351176,0.532572
achievement,test,0.013,0,0.002,3.15,5.08,65,119,8.211462,0.434822
achievement,win,0.02,0.02,0.038,3.15,2.88,65,55,15.09434,0.095131
achievement,work,0.02,0,0.002,3.15,3.88,65,760,4.839404,0.130044
acid,base,0.122,0.046,0,NULL,4.34,13,91,11.321951,0.513506
acid,basic,0.014,0,0,NULL,NULL,13,171,17.940438,0.149656
acid,battery,0.014,0.092,0,NULL,NULL,13,18,19.168839,0.088805
acid,burn,0.15,0,0.002,NULL,4.81,13,15,20.288091,0.167035
acid,chemical,0.082,0.097,0.001,NULL,NULL,13,60,12.680057,0.204376
acid,chemistry,0.014,0,0.007,NULL,3.65,13,16,21.401361,0.165152
acid,drop,0.014,0,0.006,NULL,3.16,13,59,18.79346,0.071807
acid,drug,0.102,0,0.002,NULL,5.54,13,24,6.192832,0.039534
acid,hit,0.014,0,0,NULL,4.39,13,115,9.900794,0.010439
acid,pain,0.014,0,0.004,NULL,4.22,13,88,16.890465,0.036732
acid,rain,0.177,0,0.001,NULL,5.77,13,70,11.706175,0.106917
acid,sour,0.014,0,0,NULL,4.54,13,3,10.686958,0.573042
acid,trip,0.061,0.02,0,NULL,4.39,13,81,18.26484,0.007594
acknowledge,accept,0.069,0.02,0,2.86,NULL,12,72,1.236149,0.236026
acknowledge,admit,0.028,0,0,2.86,NULL,12,37,0,0.331261
acknowledge,agree,0.014,0,0.006,2.86,NULL,12,51,12.552406,0.116338
acknowledge,credit,0.014,0,0,2.86,NULL,12,64,3.778647,0.020889
acknowledge,exist,0.021,0,0,2.86,NULL,12,59,11.573404,0.175069
acknowledge,greet,0.041,0,0,2.86,NULL,12,7,5.865894,0.180884
acknowledge,ignore,0.021,0,0,2.86,3.08,12,19,8.533297,0.227612
acknowledge,know,0.193,0,0.011,2.86,2.7,12,683,0,0.131183
acknowledge,notice,0.041,0,0.003,2.86,3.85,12,59,0,0.080027
acknowledge,realize,0.021,0.039,0.001,2.86,NULL,12,69,13.705577,0.25572
acknowledge,respect,0.021,0,0,2.86,2.33,12,125,3.939055,0.340225
acknowledge,respond,0.014,0,0,2.86,NULL,12,21,1.722766,0.145936
acknowledge,see,0.034,0,0.007,2.86,3.44,12,772,4.436105,0.091599
acknowledge,show,0.021,0,0,2.86,3.93,12,287,7.524738,0.076999
acknowledge,speak,0.014,0,0.001,2.86,4.15,12,110,8.751586,0.117679
acknowledge,understand,0.041,0,0.021,2.86,2.33,12,137,3.904847,0.166637
acorn,chipmunk,0.014,0,0.009,NULL,6.07,1,0,27.162841,0.241802
acorn,nut,0.122,0,0.096,NULL,NULL,1,15,9.647853,0.162903
acorn,seed,0.022,0,0,NULL,5.9,1,41,8.296345,0.453278
acorn,squash,0.022,0,0,NULL,NULL,1,2,23.728733,0.134394
acorn,squirrel,0.324,0.061,0.018,NULL,6.08,1,1,23.830517,0.426594
acorn,tree,0.374,0,0.043,NULL,6.62,1,59,19.374588,0.529359
acquire,accumulate,0.041,0.026,0,NULL,NULL,27,3,10.579212,0.084293
acquire,ask,0.021,0,0,NULL,2.48,27,128,9.375498,0.125511
acquire,buy,0.021,0,0.005,NULL,3.61,27,70,2.495851,0.108797
acquire,collect,0.021,0,0.007,NULL,NULL,27,16,5.784995,0.138103
acquire,gain,0.055,0.016,0.002,NULL,3.21,27,74,2.539786,0.42569
acquire,get,0.397,0.039,0.031,NULL,2.86,27,750,0,0.130352
acquire,have,0.014,0,0.025,NULL,2.44,27,3941,1.232711,0.332149
acquire,obtain,0.034,0.021,0.021,NULL,2.88,27,42,3.639487,0.258194
acquire,own,0.021,0,0.003,NULL,3.05,27,772,9.186701,0.374821
acquire,receive,0.027,0,0.051,NULL,2.98,27,76,1.443943,0.179481
acquire,steal,0.014,0,0.007,NULL,3.59,27,5,11.858457,0.132103
acquire,take,0.048,0,0.058,NULL,3.2,27,611,0,0.196712
acquire,taste,0.041,0,0,NULL,4.53,27,59,12.09029,0.076628
acre,area,0.032,0,0,5.91,3.68,9,323,9.67717,0.212913
acre,farm,0.04,0,0,5.91,5.53,9,125,7.457733,0.457921
acre,green,0.024,0,0.014,5.91,5.46,9,116,9.501368,0.103998
acre,land,0.675,0.02,0.009,5.91,6.07,9,217,9.1457,0.561832
acre,lot,0.024,0.02,0,5.91,4.43,9,127,10.303967,0.122619
acre,mile,0.024,0,0.001,5.91,4.71,9,48,15.7923,0.236431
acre,plot,0.032,0,0,5.91,4.16,9,37,9.638183,0.095965
acre,property,0.016,0,0.028,5.91,5.99,9,156,8.632224,0.116867
acre,yard,0.024,0,0.003,5.91,5.23,9,35,9.405214,0.13876
acrobat,air,0.013,0,0,6.38,5.67,0,257,17.508842,0.088194
acrobat,athlete,0.019,0,0.023,6.38,NULL,0,9,6.950961,0.206589
acrobat,circus,0.175,0,0,6.38,5.31,0,7,23.201856,0.340608
acrobat,dancer,0.026,0,0,6.38,5.54,0,31,17.629222,0.328101
acrobat,flip,0.097,0,0.004,6.38,NULL,0,4,21.065493,0.005909
acrobat,fly,0.019,0,0,6.38,5.14,0,33,19.133629,0.080896
acrobat,gym,0.026,0,0,6.38,5.93,0,2,23.712978,0.18252
acrobat,gymnast,0.201,0,0,6.38,NULL,0,1,12.589702,0.328177
acrobat,gymnastics,0.045,0.02,0.005,6.38,5.08,0,11,25.101662,0.117131
acrobat,jump,0.019,0,0.006,6.38,4.44,0,24,22.196573,0.163007
acrobat,olympics,0.013,0,0.019,6.38,NULL,0,2,26.487961,0.121341
acrobat,rope,0.019,0,0.004,6.38,6.36,0,15,21.147908,0.188876
act,actor,0.034,0,0.009,3.79,5.45,283,24,9.271621,0.148869
act,do,0.074,0.017,0.001,3.79,2.72,283,1363,0,0.242627
act,drama,0.061,0.2,0.005,3.79,3.66,283,43,2.501,0.1806
act,fail,0.014,0,0,3.79,3.23,283,37,9.72044,0.182745
act,out,0.014,0,0,3.79,2.4,283,2096,4.53264,0.16768
act,perform,0.02,0.291,0.001,3.79,NULL,283,29,1.477561,0.181502
act,play,0.182,0,0.047,3.79,4.22,283,200,0,0.135837
act,portray,0.02,0.247,0,3.79,3.25,283,6,4.279631,0.058556
act,pretend,0.176,0.115,0,3.79,2.68,283,8,0,0.111983
act,real,0.014,0,0.005,3.79,2.78,283,260,9.890023,0.054184
act,sing,0.014,0,0.001,3.79,4.12,283,34,4.954665,0.076356
act,smart,0.014,0,0,3.79,3,283,21,10.948705,0.109354
act,test,0.027,0,0.001,3.79,5.08,283,119,5.227419,0.032774
act,theater,0.101,0.014,0.009,3.79,NULL,283,29,6.346587,0.148864
act,tough,0.02,0,0,3.79,4,283,36,13.003901,0.091366
action,adventure,0.051,0.019,0,3,NULL,291,14,10.054394,0.153008
action,camera,0.022,0,0,3,6.23,291,36,12.268283,0.127508
action,do,0.014,0.017,0,3,2.72,291,1363,9.978745,0.163059
action,fast,0.014,0,0.015,3,2.93,291,78,8.49293,0.105802
action,fight,0.014,0,0,3,4.16,291,98,1.330281,0.119325
action,game,0.014,0,0,3,4.72,291,123,5.717259,0.060729
action,go,0.022,0,0.011,3,3.33,291,626,6.988853,0.069605
action,motion,0.058,0.036,0.022,3,3.63,291,55,1.539366,0.119565
action,move,0.043,0,0.01,3,3.81,291,171,1.539366,0.13323
action,movement,0.13,0.141,0.013,3,4.03,291,128,1.178655,0.222635
action,movie,0.087,0,0.002,3,5.85,291,29,11.901078,0.201892
action,reaction,0.094,0.103,0,3,2.93,291,124,2.347473,0.117031
action,run,0.051,0,0.012,3,4.51,291,212,4.921308,0.077791
action,speed,0.014,0,0.002,3,3.56,291,83,6.005321,0.110198
action,stop,0.014,0,0.016,3,2.93,291,120,6.571166,0.153738
action,suspense,0.022,0.013,0,3,NULL,291,6,13.307782,0.264931
action,take,0.022,0,0,3,3.2,291,611,7.045975,0.23509
action,verb,0.029,0.101,0,3,3.17,291,4,15.716104,0.504751
active,boy,0.013,0,0.001,NULL,6.23,88,242,12.837959,0.029609
active,energy,0.047,0,0.001,NULL,3.44,88,100,15.633305,0.168544
active,exercise,0.04,0,0.003,NULL,4.62,88,58,17.104836,0.310689
active,fit,0.013,0,0.003,NULL,3.45,88,75,17.29296,0.20111
active,lifestyle,0.013,0,0,NULL,NULL,88,0,22.457779,0.090245
active,passive,0.047,0.118,0,NULL,NULL,88,11,4.688342,0.556883
active,run,0.053,0,0.002,NULL,4.51,88,212,17.870546,0.136964
active,runner,0.013,0,0,NULL,NULL,88,1,14.860387,0.105356
active,running,0.013,0,0.001,NULL,4.4,88,123,18.180496,0.168098
active,young,0.013,0,0,NULL,3.14,88,385,13.569442,0.181205
activity,active,0.02,0,0.004,NULL,NULL,116,88,13.310794,0.483743
activity,basketball,0.027,0,0.005,NULL,5.88,116,9,9.028693,0.140097
activity,energy,0.033,0,0.001,NULL,3.44,116,100,1.192275,0.129918
activity,event,0.013,0,0,NULL,3.72,116,81,3.679041,0.158942
activity,exercise,0.013,0,0.002,NULL,4.62,116,58,3.794044,0.419888
activity,fun,0.127,0,0.016,NULL,2.45,116,44,6.289902,0.101323
activity,game,0.053,0,0.017,NULL,4.72,116,123,3.731789,0.09453
activity,hobby,0.013,0.027,0,NULL,3.66,116,4,9.211072,0.16096
activity,job,0.013,0,0.005,NULL,4.11,116,238,2.411306,0.034941
activity,movement,0.027,0.014,0,NULL,4.03,116,128,3.524838,0.226732
activity,play,0.02,0,0.028,NULL,4.22,116,200,1.645386,0.180639
activity,run,0.04,0,0.004,NULL,4.51,116,212,5.01233,0.071817
activity,school,0.013,0,0.003,NULL,5.25,116,492,10.866376,0.109243
activity,sex,0.02,0,0.002,NULL,5.33,116,84,0.854475,0.169567
activity,sport,0.127,0,0.007,NULL,4.18,116,17,4.112383,0.277738
activity,tennis,0.013,0,0.012,NULL,5.54,116,15,8.205532,0.244701
activity,volleyball,0.013,0,0,NULL,6.48,116,1,10.82052,0.198267
activity,work,0.04,0,0.019,NULL,3.88,116,760,1.640248,0.214995
actor,actress,0.578,0.507,0.001,5.45,NULL,24,6,0.847032,0.568679
actor,comedian,0.014,0.027,0,5.45,NULL,24,5,2.982084,0.100585
actor,male,0.014,0,0,5.45,5.48,24,37,7.123471,0.002149
actor,man,0.014,0,0.004,5.45,6.14,24,1207,7.609076,0.053606
actor,movie,0.074,0.01,0.045,5.45,5.85,24,29,14.920029,0.456034
actor,person,0.014,0,0,5.45,6.51,24,175,4.083433,0.066599
actor,play,0.027,0.013,0.013,5.45,4.22,24,200,13.268407,0.502541
actor,stage,0.074,0.095,0,5.45,5.59,24,174,12.885602,0.635566
actor,star,0.014,0,0.029,5.45,5.59,24,25,2.197223,0.024061
actor,television,0.041,0,0.018,5.45,6.4,24,50,14.073407,0.220706
actor,theater,0.014,0.034,0.015,5.45,NULL,24,29,12.150668,0.850515
actress,act,0.013,0,0,NULL,3.79,6,283,10.11859,0.109604
actress,actor,0.507,0.578,0.001,NULL,5.45,6,24,0.847032,0.568679
actress,beauty,0.013,0,0,NULL,3.31,6,71,12.11754,0.246115
