"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","where1","where2","cue","target"
"b.violin","m.violin",0.891442652993394,0.80358863175872,0.83977599913452,"0.940282212","NULL","NULL","NULL","NULL","b","m","violin","violin"
"b.vomit","v.vomit",0.480937569698352,0.437814719105563,0,"0.775763863","NULL","NULL","NULL","NULL","b","v","vomit","vomit"
"b.wagon","m.wagon",0.690890470583911,0.537444299720986,0.620165962102613,"0.814692105","NULL","NULL","NULL","NULL","b","m","wagon","wagon"
"b.wander","v.wander",0.643392738374204,0.322127332161482,0,"0.69535074","NULL","NULL","NULL","NULL","b","v","wander","wander"
"b.wash","v.wash",0.860272885872151,0.839129326115658,0,"0.892897158","NULL","NULL","NULL","NULL","b","v","wash","wash"
"b.write","v.write",0.720428909851233,0.631792142990011,0,"0.867512441","NULL","NULL","NULL","NULL","b","v","write","write"
"b.zebra","m.zebra",0.788416681614508,0.759478399474456,0.619179376645877,"0.846956636","NULL","NULL","NULL","NULL","b","m","zebra","zebra"
"b.zebra","v.zebra",0.935408410788213,0.746893514856176,0.322847195564578,"0.846956636","NULL","NULL","NULL","NULL","b","v","zebra","zebra"
"m.airplane","v.airplane",0.61085268038923,0.0918696643398405,0.0720321684601401,"0.634178062","NULL","NULL","NULL","NULL","m","v","airplane","airplane"
"m.apple","v.apple",0.857546096969275,0.674561577182518,0,"0.892895435","NULL","NULL","NULL","NULL","m","v","apple","apple"
"m.asparagus","v.asparagus",0.814965893837394,0.781277661510531,0,"0.925993898","NULL","NULL","NULL","NULL","m","v","asparagus","asparagus"
"m.axe","v.axe",0.877142628408144,0.625499511800148,0.629721016666278,"0.915498287","NULL","NULL","NULL","NULL","m","v","axe","axe"
"m.banana","v.banana",0.820445148069221,0.713084853671328,0.265084631657247,"0.90067873","NULL","NULL","NULL","NULL","m","v","banana","banana"
"m.bear","v.bear",0.646976792907238,0.552613161529238,0.239603969356111,"0.818862728","NULL","NULL","NULL","NULL","m","v","bear","bear"
"m.belt","v.belt",0.770171479417371,0.449912135112708,0,"0.817325118","NULL","NULL","NULL","NULL","m","v","belt","belt"
"m.blouse","v.blouse",0.785838616773794,0.435510150257806,0.538961496955661,"0.743118555","NULL","NULL","NULL","NULL","m","v","blouse","blouse"
"m.boat","v.boat",0.783500787894998,0.488478886285391,0,"0.890656117","NULL","NULL","NULL","NULL","m","v","boat","boat"
"m.bomb","v.bomb",0.734999185597275,0.134577215685347,0,"0.835700013","NULL","NULL","NULL","NULL","m","v","bomb","bomb"
"m.book","v.book",0.519070317469541,0.16444128335563,0.133098818636123,"0.771560084","NULL","NULL","NULL","NULL","m","v","book","book"
"m.box","v.box",0.656130397724837,0.252660222071239,0.121779557603818,"0.828065199","NULL","NULL","NULL","NULL","m","v","box","box"
"m.broccoli","v.broccoli",0.698739555637668,0.569614837722126,0,"0.819717676","NULL","NULL","NULL","NULL","m","v","broccoli","broccoli"
"m.broom","v.broom",0.765594844452224,0.155579292589072,0,"0.872873622","NULL","NULL","NULL","NULL","m","v","broom","broom"
"m.brush","v.brush",0.717156901555869,0.372608068873956,0.391464525999848,"0.709100327","NULL","NULL","NULL","NULL","m","v","brush","brush"
"m.bus","v.bus",0.758736957346202,0.127281129847151,0,"0.879368479","NULL","NULL","NULL","NULL","m","v","bus","bus"
"m.cabbage","v.cabbage",0.646607203672653,0.466413659140307,0,"0.607056973","NULL","NULL","NULL","NULL","m","v","cabbage","cabbage"
"m.camel","v.camel",0.847714754314875,0.587308348652637,0.272194114291038,"0.911355052","NULL","NULL","NULL","NULL","m","v","camel","camel"
"m.car","v.car",0.610502674483306,0.205290016118031,0.245850784738079,"0.818841751","NULL","NULL","NULL","NULL","m","v","car","car"
"m.carpet","v.carpet",0.675307941249583,0.224186246984872,0,"0.837653971","NULL","NULL","NULL","NULL","m","v","carpet","carpet"
"m.carrot","v.carrot",0.742966111478391,0.484937860409316,0,"0.826145322","NULL","NULL","NULL","NULL","m","v","carrot","carrot"
"m.cat","v.cat",0.817955713590282,0.687778483402722,0,"0.904498074","NULL","NULL","NULL","NULL","m","v","cat","cat"
"m.cauliflower","v.cauliflower",0.736925359415497,0.568504560359326,0,"0.805490021","NULL","NULL","NULL","NULL","m","v","cauliflower","cauliflower"
