"Prime","TargetWord","index","PLength","PSubFreq","PLogSubFreq","PLogHAL","POrthoN","PFreqGreater","PBGSum","PBGMean","PPOS","PELP.NT.RT","PELP.NT.Z","PELP.NT.Acc","Relation1","Relation2","FAS","BAS","CueFanOut","LSA","NT.200ms.RT","NT.200ms.Z","NT.200ms.Acc","NT.1200ms.RT","NT.1200ms.Z","NT.1200ms.Acc","NT.200ms.RT.Priming","NT.200ms.Z.Priming","NT.200ms.Acc.Priming","NT.1200ms.RT.Priming","NT.1200ms.Z.Priming","NT.1200ms.Acc.Priming","TLength","TSubFreq","TLogSubFreq","TLogHAL","TOrthoN","TFreqGreater","TBGSum","TBGMean","TPOS","TELP_LDT_RT","TELP_LDT_Z","TELP_LDT_Acc","TargetFanIn","first","second","root","raw","affix","old","jcn.x","lsa.x","fsg.x","bsg.x","word_1","word_2","distance","CUE","TARGET","FSG","BSG","MSG","OSG","QSS","QFR","QCON","QPS","TSS","TFR","TCON","TPS","cue","target","fsg.y","bsg.y","msg","qcon","tcon","qfr","tfr","jcn.y","lsa.y","X.x","TCosine_Set","Traw_feat_set","Troot_feat_set","X.y","PCosine_Set","Praw_feat_set","Proot_feat_set"
"knight","armor","knight.armor",6,26.76,3.14,9.81,0,NA,3252,650.4,"NN|VB",592.96,-0.53,1,"script","",0.517,0.293,11,0.6,527.457142857143,-0.149970215738806,0.971428571428571,523.384615384615,-0.223189326317425,1,46.2928571428571,0.173918322462919,-0.0285714285714286,29.0653846153847,0.654154663859501,0,5,7.29,2.57,9.49,2,0,7266,1816.5,"NN",699.65,-0.2,0.94,5,NA,NA,0,0,0,NA,NA,NA,NA,NA,"knight","armor",0.564696,"knight","armor",0.517,"0.29299999999999998","6.9999999999999999E-4","1.1000000000000001E-3",11,18,"5.44","N","13","4","5.09","N","knight","armor",0.517,0.293,7e-04,"5.44","5.09",18,4,14.890481,0.578233,170,60,15,5,2200,2,12,5
"knock","door","knock.door",5,64.69,3.52,8.84,1,0,2495,623.75,"VB|NN",595.21,-0.55,1,"action","",0.466,0,14,0.65,556.9,-0.0813488433165038,1,526.5,-0.126242887786032,1,-60.8090909090909,-0.201096786839832,0,-16.58,-0.217379516655456,0,4,292.06,4.17,10.89,6,0,4268,1422.67,"NN",507.38,-0.89,0.97,61,"door","knock",0.22915284262265,0.181787795928221,0,"0.215550168","NULL","NULL","NULL","NULL","door","knock",0.43536,"knock","door",0.466,"0","0","5.0000000000000001E-4",14,15,"5.09","V","23","312","5.95","N","knock","door",0.466,0,0,"5.09","5.95",15,312,14.680192,0.611895,1238,293,72,46,2203,169,40,40
"known","unknown","known.unknown",5,123.53,3.8,11.35,1,0,1755,438.75,"VB|NN",622.93,-0.49,1,"antonym","",0.438,0.174,15,0.54,517.47619047619,-0.213198666856083,1,554.875,-0.097129228321689,1,-6.11255411255411,-0.277638781078846,0,-48.8365384615385,0.0661953320906093,0,7,15.18,2.89,10.01,0,NA,3895,649.17,"JJ|NN",620.38,-0.62,1,20,NA,NA,0,0,0,NA,NA,NA,NA,NA,"unknown","known",0.653886,"known","unknown",0.438,"0.17399999999999999","8.9999999999999998E-4","5.0000000000000001E-4",15,245,"2.2200000000000002","V","21","47","NULL","AJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4184,3,11,5,2207,12,13,5
"lab","experiment","lab.experiment",3,39.61,3.31,10.12,14,1,3025,1512.5,"NN",566.89,-0.81,1,"fpa","",0.145,0.157,19,0.21,548.055555555556,-0.0642132335142112,1,577.641025641026,0.236523595747051,1,35.2777777777778,0.6604997093645,0,-48.4871794871794,-0.0389799323772819,0,10,16.2,2.92,9.49,0,NA,20942,2326.89,"NN",666.91,-0.44,1,23,"experiment","lab",0.366931209197598,0.20721596325385,0.297006233322752,"NULL","19.323671","0.153242","0.157","0.145","experiment","lab",0.506885,"lab","experiment",0.145,"0.157","1.0699999999999999E-2","1.9300000000000001E-2",19,3,"5.69","N","15","122","NULL","N","lab","experiment",0.145,0.157,0.0107,"5.69","NULL",3,122,19.323671,0.153242,1421,4,16,5,2208,13,19,9
"label","tag","label.tag",5,6.88,2.55,10.04,2,0,5617,1404.25,"NN|VB",581.69,-0.62,1,"synonym","",0.121,0.039,23,0.19,507.84375,-0.401701951088414,1,487.088235294118,-0.348752744885447,0.970588235294118,-31.9866071428572,0.147082131220938,0,17.6617647058824,0.122704538508976,-0.0294117647058824,3,13.88,2.85,9.94,18,1,2661,1330.5,"NN|VB",564.15,-0.76,1,6,NA,NA,0,0,0,NA,NA,NA,NA,NA,"tag","label",0.723565,"label","tag",0.121,"3.9E-2","1.6000000000000001E-3","5.5999999999999999E-3",23,19,"NULL","N","21","5","NULL","N","label","tag",0.121,0.039,0.0016,"NULL","NULL",19,5,0,0.159984,3904,15,10,5,2209,9,12,6
"labyrinth","maze","labyrinth.maze",9,0.8,1.62,7.02,0,NA,17267,2158.38,"NN",741.38,-0.11,0.92,"synonym","",0.465,0.016,9,0.37,552.153846153846,0.154688071901973,1,512,-0.216418491678655,0.974358974358974,18.7261538461538,-0.0415345744525586,0,34.9230769230769,0.339434603567986,-0.0256410256410257,4,2.55,2.12,8.78,13,3,2288,762.67,"NN",624.41,-0.63,0.97,5,"labyrinth","maze",0.186781164706735,0.146881644703807,0.283543635392939,"NULL","0","0.381086","0.465","0.016","maze","labyrinth",0.411818,"labyrinth","maze",0.465,"1.6E-2","1.6000000000000001E-3","8.6999999999999994E-3",9,1,"4.8600000000000003","N","13","6","5.0199999999999996","N","labyrinth","maze",0.465,0.016,0.0016,"4.86","5.02",1,6,0,0.381086,2433,2,10,5,2210,3,9,6
"lace","shoelace","lace.shoelace",4,3.71,2.28,8.1,12,8,5115,1705,"NN|VB",551.39,-0.74,1,"","",0.103,0,24,0.01,553.809523809524,0.190535503669354,1,580.5,0.198362148856019,1,100.66106442577,0.672809858421693,0.0588235294117647,27.3846153846154,0.148937135098885,0.0769230769230769,8,0.75,1.59,3.85,0,NA,9484,1354.86,"NN",727.45,-0.14,0.92,3,NA,NA,0,0,0,NA,NA,NA,NA,NA,"shoelace","lace",0.723524,"lace","shoelace",0.103,"0","0","5.4999999999999997E-3",24,7,"5.33","N","7","1","NULL","N","lace","shoelace",0.103,0,0,"5.33","NULL",7,1,1.13498,0.035849,3491,13,13,5,2211,66,15,5
"lamb","sheep","lamb.sheep",4,10.63,2.73,8.14,5,2,3394,1131.33,"NN",577.22,-0.71,1,"category","",0.333,0.162,14,0.53,547.333333333333,-0.268397124442946,1,488.48275862069,-0.568246148405247,1,-21.1410256410256,-0.307531806262207,0,-16.6566716641679,0.154009822778311,0.0434782608695652,5,13.43,2.84,8.93,7,2,4588,1147,"NN",562.5,-0.69,0.94,13,"lamb","sheep",0.764837310216659,0.743343058903143,0.517112417332359,"0.758163384","11.163206","0.539946","0.333","0.162","sheep","lamb",0.477313,"lamb","sheep",0.333,"0.16200000000000001","3.2800000000000003E-2","3.2199999999999999E-2",14,7,"6.24","N","17","23","6.18","N","lamb","sheep",0.333,0.162,0.0328,"6.24","6.18",7,23,11.163206,0.539946,3476,86,47,42,2217,153,20,18
"landscape","trees","landscape.trees",9,2.49,2.11,8.1,0,NA,12895,1611.88,"NN",580.62,-0.64,1,"script","",0.199,0,20,0.35,499.1,-0.525864020704711,1,527.038461538462,-0.08299336408952,1,118.555172413793,0.610232581465275,0.0689655172413793,97.6153846153846,0.309152926250089,0.0384615384615384,5,30.69,3.19,9.6,3,1,11589,2897.25,"NN",606.59,-0.64,1,17,NA,NA,0,0,0,NA,NA,NA,NA,NA,"trees","landscape",0.648866,"landscape","trees",0.199,"0","6.8999999999999999E-3","2.24E-2",20,20,"NULL","N","19","101","7","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4090,167,29,17,2220,12,10,6
"language","english","language.english",8,35.1,3.25,11.49,0,NA,12230,1747.14,"NN",593.73,-0.69,1,"supraordinate","BPA",0.184,0.23,13,0.6,624.913043478261,0.174917494082563,1,586.5,0.740954793436193,1,-16.3416149068323,0.34198574938464,0.0476190476190477,-111.131578947368,-1.01945034100206,0,7,74.06,3.58,11.25,0,NA,14973,2495.5,"JJ|NN",571.09,-0.75,0.97,43,"english","language",0.121645776873083,0.0745556307252006,0.410524281018187,"0.134206995","1.763087","0.535396","0.23","0.184","english","language",0.341908,"language","english",0.184,"0.23","1.17E-2","1.2E-2",13,109,"4","N","16","195","NULL","AJ","language","english",0.184,0.23,0.0117,"4","NULL",109,195,1.763087,0.535396,1361,20,11,5,2222,38,14,6
"lap","sit","lap.sit",3,13.47,2.84,8.76,18,7,2892,1446,"NN|VB",510.86,-0.9,1,"action","",0.176,0.011,14,0.51,489.545454545455,-0.281673579571605,1,537.047619047619,-0.0896004635730814,1,35.9116883116884,-0.0428932235956319,0,47.756728778468,-0.0242102144061236,0,3,311.35,4.2,10.15,16,6,3875,1937.5,"VB",550.47,-0.72,0.94,30,"lap","sit",0.096527859045761,0,0,"NULL","12.666244","0.449111","0.176","0.011","sit","lap",0.682205,"lap","sit",0.176,"1.0999999999999999E-2","4.7000000000000002E-3","0",14,19,"NULL","N","14","67","4.33","V","lap","sit",0.176,0.011,0.0047,"NULL","4.33",19,67,12.666244,0.449111,3537,78,27,27,2224,54,11,7
"lapel","collar","lapel.collar",5,0.49,1.42,5.48,1,1,6289,1572.25,"NN",751,-0.09,0.68,"synonym","",0.149,0,10,0.42,577.2,0.450403092095341,0.933333333333333,516.892857142857,-0.0484661526233564,1,-56.104761904762,-0.54139913363577,-0.0666666666666667,32.0515873015873,0.158977501510145,0.111111111111111,6,10.51,2.73,8.33,2,1,10372,2074.4,"NN|VB",655.2,-0.39,0.94,7,NA,NA,0,0,0,NA,NA,NA,NA,NA,"collar","lapel",0.636412,"lapel","collar",0.149,"0","3.5000000000000001E-3","3.6900000000000002E-2",10,1,"NULL","N","14","17","6.09","N","lapel","collar",0.149,0,0.0035,"NULL","6.09",1,17,19.623234,0.427382,828,62,17,8,2225,3,10,7
"laser","beam","laser.beam",5,8.49,2.64,9.69,5,1,11664,2916,"NN",603.85,-0.56,1,"fpa","",0.363,0.041,13,0.65,588.782608695652,0.203222984608963,1,488.086956521739,-0.239574243082499,1,-12.6773455377574,-0.207310310389698,0,147.246376811594,0.981569313539977,0,4,8.73,2.65,8.97,9,3,3618,1206,"NN|VB",633.36,-0.39,0.97,6,NA,NA,0,0,0,NA,NA,NA,NA,NA,"beam","laser",0.454738,"laser","beam",0.363,"4.1000000000000002E-2","6.9999999999999999E-4","7.1900000000000006E-2",13,0,"NULL","N","13","21","4.7","N","laser","beam",0.363,0.041,7e-04,"NULL","4.7",0,21,16.012297,0.606569,315,23,11,5,2228,7,13,5
"lasting","long","lasting.long",7,2.35,2.08,8.13,7,3,22627,3771.17,"VB|NN",567.74,-0.7,0.96,"bpa","",0.259,0,16,0.37,484.51724137931,-0.674610821717835,1,491.925925925926,-0.298907498801431,1,24.4583683767872,0.362591240700937,0.024390243902439,13.3844189016603,-0.0215392982263717,0,4,675.16,4.54,12.52,7,0,9994,3331.33,"JJ|RB|NN|VB",659.47,-0.48,0.94,93,NA,NA,0,0,0,NA,NA,NA,NA,NA,"long","lasting",0.667783,"lasting","long",0.259,"0","1.21E-2","5.0000000000000001E-4",16,13,"NULL","AJ","13","755","3.68","AJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2336,11,6,5,2231,6,11,5
"latch","key","latch.key",5,1.92,2,7.15,6,6,7956,1989,"NN",620.21,-0.51,1,"fpa","",0.386,0,12,0.16,479,-0.487941445444766,1,489.236842105263,-0.454812311938988,1,-3.75,0.0776945231207051,0,10.993927125506,0.346539587952187,0.0384615384615384,3,86.86,3.65,11.47,3,0,1134,567,"JJ|NN|VB",543.52,-0.82,0.97,13,"latch","key",0.520087416225769,0,0,"NULL","13.577179","0.131037","0.386","0","key","latch",0.646244,"latch","key",0.386,"0","6.1199999999999997E-2","6.7299999999999999E-2",12,5,"5.41","N","9","88","6.08","N","latch","key",0.386,0,0.0612,"5.41","6.08",5,88,13.577179,0.131037,2174,76,15,13,2232,21,13,7
"late","early","late.early",4,269.73,4.14,10.92,17,2,10595,3531.67,"JJ|RB",535.81,-0.87,1,"antonym","",0.473,0.507,11,0.65,511.392857142857,-0.403663726330236,1,557.387096774194,-0.045675542627243,1,-14.1547619047619,-0.0175664785761545,0,-50.5370967741935,-0.111206235239343,0,5,108.04,3.74,11.24,0,NA,6607,1651.75,"JJ|RB|NN",579.12,-0.8,1,9,NA,NA,0,0,0,NA,NA,NA,NA,NA,"early","late",0.343592,"late","early",0.473,"0.50700000000000001","1.9E-3","2.0000000000000001E-4",11,179,"2.5299999999999998","AJ","8","366","2.54","AJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1296,19,12,6,2233,12,12,7
"laugh","cry","laugh.cry",5,62.86,3.51,9.51,0,NA,3279,819.75,"NN|VB",564.67,-0.74,1,"antonym","",0.479,0.116,8,0.5,539.962962962963,0.0834472359505666,1,505.846153846154,-0.0913507022271924,1,-12.1481481481482,-0.0693755672251373,0,63.2967032967032,0.284253218306821,0,3,65.65,3.52,9.49,6,2,1430,715,"NN|VB",564.97,-0.82,0.97,47,"laugh","cry",0.211206420844521,0.14661622118186,0,"0.309040281","2.445556","0.447816","0.479","0.116","cry","laugh",0.339294,"laugh","cry",0.479,"0.11600000000000001","0","6.7000000000000002E-3",8,28,"4.29","V","14","48","4.32","V","laugh","cry",0.479,0.116,0,"4.29","4.32",28,48,2.445556,0.447816,1024,266,55,54,2236,24,15,6
"launch","rocket","launch.rocket",6,19.96,3.01,9.47,2,0,7258,1451.6,"NN|VB",561,-0.74,1,"fpa","",0.311,0.069,17,0.82,532.846153846154,-0.208002247424524,1,502.518518518519,-0.139453246145575,1,-13.5852842809364,0.231258707032277,0,36.7395459976105,0.0397055117862409,0,6,11.84,2.78,9.31,7,0,5986,1197.2,"NN|VB",627.13,-0.59,0.94,7,NA,NA,0,0,0,NA,NA,NA,NA,NA,"rocket","launch",0.496486,"launch","rocket",0.311,"6.9000000000000006E-2","3.3E-3","1.9400000000000001E-2",17,10,"4.55","V","18","7","6.22","N","launch","rocket",0.311,0.069,0.0033,"4.55","6.22",10,7,9.027226,0.808927,3290,112,24,17,2237,5,6,5
"lava","volcano","lava.volcano",4,3.45,2.25,7.92,2,1,2869,956.33,"NN",577.81,-0.63,1,"script","",0.388,0.18,11,0.96,507.423076923077,-0.348300636567551,1,545.088235294118,0.144592451710752,1,15.5028490028491,0.238641612554291,0.0370370370370371,49.2194570135746,-0.0142675895858083,0,7,3.33,2.23,8.02,0,NA,7730,1288.33,"NN",617.38,-0.49,0.94,10,NA,NA,0,0,0,NA,NA,NA,NA,NA,"volcano","lava",0.428136,"lava","volcano",0.388,"0.18","1.1999999999999999E-3","1.01E-2",11,1,"NULL","N","10","2","6.83","N","lava","volcano",0.388,0.18,0.0012,"NULL","6.83",1,2,23.72029,0.962229,4261,8,12,5,2239,10,11,7
"law","order","law.order",3,116.31,3.77,11.74,12,0,2245,1122.5,"NN",603.21,-0.55,1,"synonym","",0.186,0.044,14,0.21,463.12,-0.562794985292321,1,524.347826086957,-0.239419478393404,1,54.6168421052631,0.391238112444612,0,-4.8478260869565,0.198871863392437,0,5,156.57,3.9,12.17,1,0,12145,3036.25,"NN|VB",545.68,-0.78,1,35,NA,NA,0,0,0,NA,NA,NA,NA,NA,"order","law",0.703776,"law","order",0.186,"4.3999999999999997E-2","0","4.1000000000000003E-3",14,299,"3.36","N","22","376","3.37","N","law","order",0.186,0.044,0,"3.36","3.37",299,376,5.782519,0.170509,2739,5,10,5,2240,9,10,5
"lay","down","lay.down",3,58.24,3.47,9.62,17,11,2442,1221,"VB",554.14,-0.73,1,"fpa","",0.223,0,13,0.52,513.545454545455,-0.336813397819988,1,491.380952380952,-0.393686856336618,1,33.4045454545455,0.0899660315755487,0,25.5523809523809,0.31246186137774,0,4,1490.27,4.88,12.59,4,0,1439,479.67,"RB|minor|JJ|NN",621.22,-0.51,0.97,81,NA,NA,0,0,0,NA,NA,NA,NA,NA,"down","lay",0.602136,"lay","down",0.223,"0","9.1000000000000004E-3","2.9999999999999997E-4",13,139,"3.18","V","10","895","3.23","AD","lay","down",0.223,0,0.0091,"3.18","3.23",139,895,11.665889,0.454054,1247,64,13,8,2244,17,6,5
"leader","follower","leader.follower",6,31.16,3.2,10.4,6,0,15045,3009,"NN",645.74,-0.4,1,"antonym","",0.248,0.605,22,0.13,554.888888888889,0.399525867670584,1,637.571428571429,0.541196293081343,0.964285714285714,30.5798611111111,-0.153977429169355,0,-64.1214285714285,-0.097187890613875,0.0142857142857143,8,0.67,1.54,7.22,1,1,12306,1758,"NN",800.58,-0.05,0.94,2,"follower","leader",0.674707980357974,0.257167084238564,0.105366104371559,"0.204755577","6.786885","0.100365","0.605","0.248","follower","leader",0.627152,"leader","follower",0.248,"0.60499999999999998","0","0",22,74,"5.83","N","11","3","NULL","N","leader","follower",0.248,0.605,0,"5.83","NULL",74,3,6.786885,0.100365,1587,55,21,7,2247,34,15,7
"leak","drip","leak.drip",4,10.14,2.71,8.55,8,5,5562,1854,"NN|VB",613.05,-0.59,0.96,"category","",0.247,0,15,0.13,542.296296296296,-0.266158492260646,1,520.730769230769,-0.0961231805701996,1,1.59656084656081,0.190834220565929,0,-44.0307692307693,-0.130542613494533,0,4,5.12,2.42,7.21,3,3,3796,1265.33,"NN|VB",618.26,-0.54,1,5,"drip","leak",0.456720905298651,0.521569454860247,0,"NULL","NULL","NULL","NULL","NULL","drip","leak",0.748514,"leak","drip",0.247,"0","6.8999999999999999E-3","4.7899999999999998E-2",15,2,"NULL","N","10","1","4.9800000000000004","V","leak","drip",0.247,0,0.0069,"NULL","4.98",2,1,7.646605,0.088981,1264,54,15,7,2251,46,17,9
"lean","skinny","lean.skinny",4,10.37,2.72,8.42,11,8,8714,2904.67,"JJ|VB|NN",568.28,-0.76,1,"synonym","",0.159,0,22,0.44,564.12,-0.0103450785605532,1,576.684210526316,0.293502530545356,1,-15.8018181818181,0.0571626507776047,0,-64.4508771929825,-0.133719071204218,0.0333333333333333,6,13.98,2.85,8.12,0,NA,8069,1613.8,"JJ",623.94,-0.65,1,21,"lean","skinny",0.501916758752658,0.536442099884481,0,"NULL","NULL","NULL","0.159","0","skinny","lean",0.660111,"lean","skinny",0.159,"0","5.28E-2","8.3199999999999996E-2",22,20,"3.91","V","10","9","3.67","AJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3548,39,13,6,2252,16,7,5
"learn","teach","learn.teach",5,118.57,3.78,11.18,1,0,8669,2167.25,"VB",617.44,-0.61,1,"antonym","",0.178,0.415,19,0.65,541.666666666667,-0.397626992898181,1,480.818181818182,-0.526765379148674,1,18.1428571428572,0.404435708280224,0,64.8484848484848,0.48245204529776,0,5,72.84,3.57,10.02,4,2,9191,2297.75,"VB",622.67,-0.63,1,19,"learn","teach",0.455422216652756,0.445427885231835,0,"0.390682644","0","0.571632","0.178","0.415","learn","teach",0.183449,"learn","teach",0.178,"0.41499999999999998","2.3999999999999998E-3","1.5599999999999999E-2",19,84,"3.66","V","15","41","1.77","V","learn","teach",0.178,0.415,0.0024,"3.66","1.77",84,41,0,0.571632,3934,32,35,35,2254,13,14,5
"lease","rent","lease.rent",5,6.27,2.51,8.11,5,3,8714,2178.5,"NN|VB",578.5,-0.67,1,"category","",0.349,0.095,11,0.69,489.285714285714,-0.33191150758277,0.971428571428571,494.975,-0.204675752870663,1,12.0084033613446,-0.110131557627687,-0.0285714285714286,60.1302631578947,0.317786069547876,0,4,34.55,3.25,9.28,15,3,11376,3792,"NN|VB",607.91,-0.71,0.97,11,"lease","rent",0.253275843308235,0.169436418951881,0.120618813089179,"NULL","0","0.682681","0.349","0.095","rent","lease",0.505479,"lease","rent",0.349,"9.5000000000000001E-2","8.3000000000000001E-3","3.8199999999999998E-2",11,10,"3.67","N","15","21","4.29","N","lease","rent",0.349,0.095,0.0083,"3.67","4.29",10,21,0,0.682681,3218,10,14,5,2255,26,22,10
"least","most","least.most",5,207.76,4.03,12.21,6,0,10248,2562,"JJ|RB|NN",573.5,-0.61,1,"antonym","",0.459,0.216,11,0.59,525.230769230769,-0.205390710674503,1,501.823529411765,-0.260607191444011,1,12.5927601809955,0.309355287068875,0.0588235294117647,90.3986928104575,0.370366721630718,0.148148148148148,4,350.76,4.25,13.11,10,0,5374,1791.33,"RB|JJ",575.85,-0.81,1,11,NA,NA,0,0,0,NA,NA,NA,NA,NA,"most","least",0.668117,"least","most",0.459,"0.216","1.9E-3","8.0000000000000002E-3",11,343,"2.65","AJ","12","1160","3.17","AJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2551,6,12,6,2256,12,9,6
"leave","come","leave.come",5,560.71,4.46,11.25,3,0,7515,1878.75,"VB|NN",617.85,-0.55,1,"antonym","",0.194,0.014,18,0.61,532.838709677419,-0.246494585389382,1,521.911764705882,-0.260864132907084,0.970588235294118,28.4362903225806,0.250864555528683,0,14.5882352941177,0.136976315851871,-0.0294117647058824,4,3140.98,5.2,12.35,15,1,5431,1810.33,"VB|NN",630.12,-0.67,1,20,"come","leave",0.560148591664934,0.560148591664934,0.72308700862009,"0.549826046","9.179955","0.45239","0.014","0.194","come","leave",0.366722,"leave","come",0.194,"1.4E-2","3.0599999999999999E-2","0.1167",18,205,"3.1","V","13","630","3.51","V","leave","come",0.194,0.014,0.0306,"3.1","3.51",205,630,9.179955,0.45239,840,256,22,22,2258,129,15,15
"ledge","cliff","ledge.cliff",5,3.51,2.26,7.36,3,2,9250,2312.5,"NN",598.21,-0.63,1,"synonym","",0.193,0.042,14,0.69,534.35,-0.0661013243868093,1,556.366666666667,0.0204308243697828,1,27.8264705882352,0.215551077339565,0,20.0619047619048,0.331907768040609,0,5,21.57,3.04,8.54,0,NA,4233,1058.25,"NN",622.91,-0.58,0.97,11,"cliff","ledge",0.461529928688198,0.509459340001509,0.521732632065692,"0.484161154","9.82135","0.641386","0.042","0.193","ledge","cliff",0.51691,"ledge","cliff",0.193,"4.2000000000000003E-2","2.1299999999999999E-2","2.6700000000000002E-2",14,6,"4.93","N","12","11","5.98","N","ledge","cliff",0.193,0.042,0.0213,"4.93","5.98",6,11,9.82135,0.641386,782,164,34,16,2260,23,12,7
"left","right","left.right",4,484.45,4.39,11.79,5,0,4023,1341,"VB|NN|JJ",555.71,-0.76,1,"antonym","",0.939,0.405,1,0.72,526.75,0.0344393956124623,1,502.875,-0.335482197598651,1,-47.75,-0.342295661461657,0,40.8557692307693,0.343281336699028,0,5,4008.39,5.31,12.87,7,0,4503,1125.75,"NN|JJ|RB|VB",585.7,-0.69,0.97,48,"left","right",0.325645357602732,0.281029490318899,0.435686491699313,"0.116607653","1.415711","0.663983","0.939","0.405","right","left",0.453334,"left","right",0.939,"0.40500000000000003","0","0",1,480,"3.37","AJ","3","613","3.53","AJ","left","right",0.939,0.405,0,"3.37","3.53",480,613,1.415711,0.663983,3264,33,16,9,2262,26,9,6
"legal","illegal","legal.illegal",5,35.71,3.26,11.05,1,0,7528,1882,"JJ|NN",565.41,-0.67,1,"antonym","",0.179,0.144,18,0.49,635.636363636364,0.600806551490971,1,672.666666666667,0.612200489136746,1,-101.287526427061,-0.558139584324248,0,-109.12380952381,-0.372802846495233,0,7,23.51,3.08,10.37,0,NA,10592,1765.33,"JJ|NN",590.64,-0.67,1,14,NA,NA,0,0,0,NA,NA,NA,NA,NA,"illegal","legal",0.668426,"legal","illegal",0.179,"0.14399999999999999","0","1.03E-2",18,72,"NULL","AJ","9","9","NULL","AJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2031,10,11,5,2264,3,11,5
"legend","story","legend.story",6,17.16,2.94,9.51,0,NA,10639,2127.8,"NN",626.43,-0.47,1,"supraordinate","",0.148,0,19,0.37,471.12,-0.602790819764853,1,556.52380952381,-0.0702163614460314,1,-2.7390476190476,0.0815998620080621,0,-119.139194139194,-0.459813324873157,0,5,220.78,4.05,11.48,4,0,8319,2079.75,"NN",601.97,-0.77,0.97,46,NA,NA,0,0,0,NA,NA,NA,NA,NA,"story","legend",0.565899,"legend","story",0.148,"0","8.9800000000000005E-2","1.2800000000000001E-2",19,26,"2.65","N","14","153","4.18","N","legend","story",0.148,0,0.0898,"2.65","4.18",26,153,2.96306,0.334698,3784,14,21,6,2265,3,14,5
"legion","foreign","legion.foreign",6,2.47,2.1,8.41,2,1,11542,2308.4,"NN",683.67,-0.19,1,"bpa","",0.159,0,15,0.14,583.3,0.417364841171749,0.95,567.769230769231,0.584235848677691,1,-1.29999999999995,-0.00381962515879625,-0.05,-26.1902834008097,-0.271534626655105,0.0526315789473685,7,22.29,3.06,10.65,0,NA,9258,1543,"JJ",676.24,-0.4,1,21,NA,NA,0,0,0,NA,NA,NA,NA,NA,"foreign","legion",0.747388,"legion","foreign",0.159,"0","3.7000000000000002E-3","0",15,7,"3.53","N","20","158","NULL","AJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1600,1,6,5,2266,80,9,7
"lend","borrow","lend.borrow",4,11.67,2.78,8,12,6,8994,2998,"VB",624.81,-0.51,1,"synonym","",0.554,0.41,7,0.81,615.65,0.130263387526462,0.95,526.214285714286,-0.0195891035092462,1,-36.3772727272727,0.356296277894407,-0.0196969696969698,26.9285714285714,0.0388353246630213,0,6,29.31,3.17,8.35,4,0,6925,1385,"VB",618.06,-0.69,0.94,12,"borrow","lend",0.771903317954473,0.771903317954473,0.955219304514229,"0.762478016","17.633885","0.755053","0.41","0.554","lend","borrow",0.329895,"lend","borrow",0.554,"0.41","0.01","1.3599999999999999E-2",7,14,"2.8","V","12","9","2.2599999999999998","V","lend","borrow",0.554,0.41,0.01,"2.8","2.26",14,9,17.633885,0.755053,447,275,26,26,2270,134,17,17
"lens","glasses","lens.glasses",4,4.67,2.38,9.14,9,3,9088,3029.33,"NN",563.32,-0.71,1,"perceptual property","",0.553,0.02,7,0.26,594.857142857143,0.391159328332368,1,515.117647058824,-0.0865377286036163,0.970588235294118,-14.147465437788,-0.0684240235051504,0,5.3966386554622,-0.0291495288722947,-0.000840336134453779,7,33.12,3.23,9.05,2,1,11998,1999.67,"NN",645.34,-0.45,1,20,"glasses","lens",0.350118338573105,0.298921191162043,0,"NULL","11.412529","0.234895","0.02","0.553","glasses","lens",0.620113,"lens","glasses",0.553,"0.02","1.0800000000000001E-2","1.5E-3",7,12,"5.52","N","16","29","6.02","N","lens","glasses",0.553,0.02,0.0108,"5.52","6.02",12,29,11.412529,0.234895,1728,25,10,5,2273,30,9,6
"lettuce","tomato","lettuce.tomato",7,3.39,2.24,6.88,0,NA,8257,1376.17,"NN",643.62,-0.29,0.93,"script","",0.292,0.056,11,0.52,562.809523809524,0.115065466183307,1,543.421052631579,-0.135984715203848,1,24.3756613756614,-0.151281166591789,0,2.06379585326954,0.417505534455328,0.0303030303030303,6,5.9,2.48,7.67,0,NA,9810,1962,"NN",640.36,-0.45,0.97,16,"lettuce","tomato",0.491656517292483,0.466259880073228,0.570442691210058,"0.375217671","8.997742","0.472458","0.292","0.056","tomato","lettuce",0.556856,"lettuce","tomato",0.292,"5.6000000000000001E-2","1.29E-2","3.0300000000000001E-2",11,0,"5.67","N","17","4","6.58","N","lettuce","tomato",0.292,0.056,0.0129,"5.67","6.58",0,4,8.997742,0.472458,4028,24,16,15,2281,93,35,28
