TargetWord,Length,SubFreq,LogSubFreq,LogHAL,OrthoN,FreqGreater,BGSum,BGMean,POS,ELP_LDT_RT,ELP_LDT_Z,ELP_LDT_Acc,TargetFanIn
climb,5,19.75,3,8.72,1,0,4643,1160.75,VB|NN,569.83,-0.74,0.91,23
clipper,7,1.16,1.78,8.32,5,0,12184,2030.67,NN,635.3,-0.63,0.97,2
clock,5,58.63,3.48,10.11,8,1,3639,909.75,NN,583.84,-0.78,0.97,20
close,5,219.43,4.05,11.35,3,0,4924,1231,VB,542.71,-0.84,1,63
closed,6,54.08,3.44,10.23,3,0,9409,1881.8,VB|JJ,616.77,-0.66,0.97,8
closing,7,26.14,3.13,9.34,0,,15405,2567.5,VB|NN,590.74,-0.66,1,2
cloth,5,6.1,2.49,9.32,1,0,4276,1069,NN,629.12,-0.48,0.97,41
clothes,7,101.14,3.71,9.57,1,0,10514,1752.33,NN,552.58,-0.8,1,147
cloudy,6,2.16,2.05,6.95,1,1,4230,846,JJ,566.48,-0.66,0.94,9
clown,5,15.82,2.91,7.92,3,2,2899,724.75,NN,630.82,-0.5,0.97,17
club,4,98.78,3.7,11.06,1,0,1537,512.33,NN|VB,547.03,-0.84,1,25
clue,4,17.61,2.95,9.79,4,2,1563,521,NN|VB,585.91,-0.75,1,10
coat,4,42.08,3.33,9.24,8,3,7074,2358,NN|VB,688.41,-0.46,0.94,32
cocaine,7,8.25,2.63,8.5,0,,15014,2502.33,NN,652.24,-0.39,0.97,11
code,4,53.12,3.43,11.91,14,1,5609,1869.67,NN|VB,658.84,-0.43,0.97,7
coffee,6,144.53,3.87,9.82,2,0,4517,903.4,NN,588.06,-0.63,0.97,29
coke,4,18.59,2.98,8.36,12,5,3600,1200,NN,560.15,-0.73,0.97,24
cold,4,130.16,3.82,10.46,12,4,4100,1366.67,JJ|NN,505.91,-0.87,1,140
collar,6,10.51,2.73,8.33,2,1,10372,2074.4,NN|VB,655.2,-0.39,0.94,7
college,7,85.18,3.64,11.26,1,0,10449,1741.5,NN|VB,713.24,-0.3,1,41
cologne,7,3.16,2.21,6.86,0,,8265,1377.5,NN,704.94,-0.35,0.97,4
color,5,39.43,3.3,11.22,1,0,7994,1998.5,NN|VB,568.06,-0.78,1,74
come,4,3140.98,5.2,12.35,15,1,5431,1810.33,VB|NN,630.12,-0.67,1,20
comfortable,11,47.22,3.38,9.7,1,0,15538,1553.8,JJ,789.47,-0.24,0.97,19
comment,7,12.82,2.82,10.64,1,0,12647,2107.83,NN|VB,638.41,-0.57,1,9
communism,9,2.1,2.03,8.29,1,1,11087,1385.88,NN,763.97,-0.12,0.94,3
communist,9,7.57,2.59,9.15,1,0,14126,1765.75,NN|JJ,784.55,-0.29,0.97,5
compact,7,1.69,1.94,8.69,0,,8269,1378.17,JJ|NN,614.85,-0.58,1,3
company,7,147.2,3.88,11.96,0,,9305,1550.83,NN,582.36,-0.62,0.97,23
computer,8,59.04,3.48,12.44,3,0,16463,2351.86,NN,592.41,-0.61,1,39
con,3,12.63,2.81,10.68,16,2,7079,3539.5,NN|VB,657.9,-0.3,0.85,13
conceited,9,,,,,,,,,,,,8
concert,7,17.55,2.95,9.4,4,3,17274,2879,NN,626.58,-0.57,1,15
concrete,8,7.43,2.58,8.98,0,,19564,2794.86,JJ|NN|VB,725.36,-0.33,0.97,15
condom,6,5.16,2.42,7.96,1,0,10646,2129.2,NN,710.66,-0.41,1,6
conference,10,25.41,3.11,10.85,0,,25536,2837.33,NN,707.33,-0.26,1,3
confess,7,15.84,2.91,7.9,1,0,14046,2341,VB,660.75,-0.38,1,2
confusion,9,7.12,2.56,9.34,1,0,18104,2263,NN,683.97,-0.42,1,21
congress,8,8.22,2.62,10.65,0,,22348,3192.57,NN,644.03,-0.4,1,8
conservative,12,3.76,2.29,9.74,0,,29544,2685.82,JJ|NN,861.28,0.08,1,2
construction,12,13.84,2.85,9.96,1,0,28326,2575.09,NN,644.12,-0.45,0.97,20
continent,9,3.67,2.27,8.21,0,,30878,3859.75,NN,787.66,-0.1,0.94,6
control,7,130.63,3.82,11.94,0,,15226,2537.67,NN|VB,614.29,-0.56,1,40
cook,4,45.57,3.37,9.51,11,5,3628,1209.33,NN|VB,558.79,-0.77,0.97,46
cool,4,195.88,4,10.81,9,0,4697,1565.67,JJ|VB|NN,572.31,-0.75,0.94,65
cop,3,86.14,3.64,9.32,17,6,3224,1612,NN,585.3,-0.7,1,35
copy,4,52.27,3.43,11.75,4,0,3309,1103,NN|VB,550.09,-0.79,1,18
coral,5,2.37,2.09,8.48,1,1,11401,2850.25,JJ|NN,661.5,-0.37,0.91,2
corn,4,14.22,2.86,8.51,11,7,5700,1900,NN,555.42,-0.85,0.97,27
cotton,6,14.18,2.86,8.65,0,,10022,2004.4,NN|VB,559.15,-0.8,1,22
couch,5,23.47,3.08,8.51,6,2,6109,1527.25,NN,696,-0.39,1,11
cough,5,8.78,2.65,7.7,6,4,4940,1235,NN|VB,627.18,-0.62,1,17
country,7,161.84,3.92,11.58,0,,11344,1890.67,NN,633.18,-0.57,1,65
course,6,487.22,4.4,12.19,1,0,9002,1800.4,NN|VB,614.91,-0.58,1,6
court,5,100.73,3.71,10.96,1,0,6505,1626.25,NN|VB,586.84,-0.71,0.94,49
cover,5,94.27,3.68,11.07,10,0,11077,2769.25,VB|NN,578.72,-0.71,0.94,41
cow,3,25.51,3.11,8.89,18,9,3159,1579.5,NN|VB,580.72,-0.75,0.94,49
cowboy,6,18.98,2.99,7.95,0,,4094,818.8,NN,646.65,-0.5,1,15
crab,4,6.9,2.55,6.89,7,5,4912,1637.33,NN,619.31,-0.51,0.94,8
crack,5,32.84,3.22,9.16,6,1,6312,1578,NN|VB,647.39,-0.56,0.94,24
cracker,7,5.76,2.47,7.1,2,2,13372,2228.67,NN,623.15,-0.59,0.97,10
crackle,7,0.69,1.56,5.47,0,,9865,1644.17,VB|NN,650.06,-0.48,1,3
crafts,6,1.37,1.85,7.81,2,0,5304,1060.8,NN|VB,614.31,-0.65,0.97,3
crash,5,28.65,3.16,9.86,5,0,6653,1663.25,NN|VB,639.12,-0.65,1,21
crayon,6,0.41,1.34,5.73,0,,9023,1804.6,NN|VB,725.42,-0.34,1,6
crazy,5,272.27,4.14,9.77,1,0,4037,1009.25,JJ,546.71,-0.82,1,40
create,6,25.27,3.11,11.2,1,0,15729,3145.8,VB|NN,641.09,-0.57,0.97,22
creator,7,2.78,2.16,8.99,0,,15454,2575.67,NN,621.06,-0.55,1,6
crime,5,71.24,3.56,10.42,5,0,6297,1574.25,NN,605.06,-0.73,1,61
criminal,8,34.47,3.25,9.88,0,,17314,2473.43,JJ|NN,692.12,-0.49,1,47
crooked,7,5.69,2.46,7.28,4,0,9477,1579.5,JJ,694.65,-0.3,0.97,8
crops,5,2.61,2.13,7.69,7,2,3996,999,NN|VB,648.82,-0.48,1,4
crowd,5,37.37,3.28,9.47,2,0,3657,914.25,NN|VB,663.42,-0.54,0.97,24
crunchy,7,0.94,1.69,6.42,0,,6480,1080,JJ,649.7,-0.53,1,6
cry,3,65.65,3.52,9.49,6,2,1430,715,NN|VB,564.97,-0.82,0.97,47
cuddle,6,2.16,2.05,6.39,5,1,4948,989.6,NN|VB,675.71,-0.4,1,6
cup,3,51.65,3.42,10.23,8,1,1062,531,NN|VB,617.88,-0.73,0.97,33
cure,4,20.84,3.03,9.05,11,5,6553,2184.33,NN|VB,631.18,-0.53,1,14
curtains,8,6.29,2.51,6.8,0,,14561,2080.14,NN|VB,653.03,-0.46,0.97,3
cut,3,229.76,4.07,11.5,13,3,1599,799.5,VB|NN,632.66,-0.65,1,83
cute,4,87.75,3.65,9.31,6,1,5994,1998,JJ|NN,582.79,-0.71,0.97,37
dad,3,507.25,4.41,9.38,15,7,1585,792.5,NN,589.59,-0.65,1,24
dagger,6,4.92,2.4,7.52,2,1,8930,1786,NN,651.67,-0.41,0.82,3
daily,5,15.63,2.9,10.57,5,0,4429,1107.25,JJ|NN|RB,581.38,-0.72,0.97,8
dam,3,5.75,2.47,8.12,13,10,1479,739.5,NN|VB,704.67,-0.19,0.91,3
dance,5,148.04,3.88,10.17,3,0,7047,1761.75,NN|VB,530.32,-0.9,0.97,62
dancer,6,16.29,2.92,8,5,3,13209,2641.8,NN,586.52,-0.53,1,9
danger,6,43.67,3.35,9.45,5,0,15309,3061.8,NN,578.1,-0.73,0.97,61
dangerous,9,74.84,3.58,10.01,0,,20595,2574.38,JJ,694.88,-0.41,1,15
daring,6,4.2,2.33,7.32,4,3,17187,3437.4,JJ|VB|NN,692.29,-0.44,0.97,4
dark,4,88.61,3.66,11.17,9,1,3769,1256.33,JJ|NN|RB,556.45,-0.77,1,82
data,4,25.61,3.12,12.23,2,0,6592,2197.33,NN,577.12,-0.74,0.97,12
date,4,141.53,3.86,11.82,17,1,9110,3036.67,NN|VB,537.87,-0.86,0.97,25
day,3,801.82,4.61,12.38,16,3,957,478.5,NN,558.72,-0.85,0.94,51
days,4,305.73,4.19,11.97,8,1,1191,397,NN,586.75,-0.7,0.97,9
dead,4,448.98,4.36,11.2,10,3,5467,1822.33,JJ|NN|RB,593.8,-0.74,1,75
deaf,4,14.53,2.87,8.72,5,5,4648,1549.33,JJ|NN,580.94,-0.63,0.97,8
death,5,216.69,4.04,11.26,1,0,9920,2480,NN,547.55,-0.85,1,134
decay,5,2.06,2.03,8.18,3,1,6129,1532.25,NN|VB,685.15,-0.36,1,11
decide,6,50.41,3.41,10.49,3,0,8336,1667.2,VB,605.36,-0.61,0.97,11
decision,8,55.06,3.45,10.51,1,0,16460,2351.43,NN,612.65,-0.47,0.97,15
deep,4,76.39,3.59,10.66,9,1,4145,1381.67,JJ|NN,560.38,-0.74,1,29
deer,4,8.71,2.65,8.5,11,3,9633,3211,NN,580.91,-0.73,1,20
defeat,6,11.37,2.76,8.94,1,0,9615,1923,VB|NN,796.23,0.05,1,12
defense,7,32.65,3.22,10.36,1,0,11322,1887,NN,672.06,-0.38,0.97,3
definition,10,5.8,2.47,11.61,0,,26329,2925.44,NN,671.13,-0.33,0.91,7
deodorant,9,1.61,1.92,5.18,0,,16331,2041.38,NN,718.91,-0.2,1,10
dependable,10,1.67,1.93,6.93,0,,16652,1850.22,JJ,682.7,-0.44,0.94,3
dependent,9,2.24,2.06,9.11,1,0,19951,2493.88,JJ|NN,671.25,-0.42,0.97,4
descend,7,1.92,2,6.96,1,1,15177,2529.5,VB,703.67,-0.36,1,5
desert,6,27.98,3.15,9.77,0,,16286,3257.2,NN,608.65,-0.63,1,24
desk,4,43.9,3.35,9.52,3,2,7316,2438.67,NN,636.52,-0.66,0.97,19
destroy,7,47.18,3.38,9.77,0,,14625,2437.5,VB,644.72,-0.49,0.97,41
destruction,11,11.51,2.77,9.45,0,,26481,2648.1,NN,718.15,-0.18,1,16
devil,5,41.33,3.32,9.02,0,,5280,1320,NN,635.24,-0.69,1,15
diamond,7,20.65,3.02,9.81,0,,11274,1879,NN,611.43,-0.55,1,23
diary,5,8.98,2.66,7.89,1,0,6596,1649,NN,620.18,-0.53,1,4
dictionary,10,3.73,2.28,9.51,0,,22225,2469.44,NN,613,-0.48,0.94,17
die,3,261.14,4.12,11.13,12,2,3130,1565,VB|NN,542.66,-0.79,0.94,38
different,9,209.53,4.03,12.32,0,,20892,2611.5,JJ|NN,665.52,-0.41,1,41
dill,4,1.76,1.96,6.2,14,13,4926,1642,NN,772.9,-0.07,0.88,2
dime,4,12.06,2.79,7.85,11,6,4504,1501.33,NN,630.65,-0.57,1,7
dinner,6,202.67,4.01,9.48,2,0,17575,3515,NN,601.56,-0.67,0.94,51
dinosaur,8,3.98,2.31,7.78,0,,12974,1853.43,NN,722.9,-0.21,0.88,7
direct,6,24.04,3.09,10.91,0,,9669,1933.8,JJ|VB|NN|RB,587,-0.65,0.94,8
direction,9,24.08,3.09,10.34,0,,21560,2695,NN,624.62,-0.5,1,18
directions,10,9.69,2.69,9.38,0,,23416,2601.78,NN,719.62,-0.34,1,8
dirt,4,25.69,3.12,8.94,3,1,3689,1229.67,NN,603.77,-0.57,1,75
dirty,5,66.45,3.53,9.55,1,0,4391,1097.75,JJ|VB|NN,582.82,-0.68,0.97,83
disagree,8,6.63,2.53,10.15,0,,12316,1759.43,VB,695.56,-0.33,1,9
disagreement,12,1.53,1.9,8.04,0,,21902,1991.09,NN,786.97,-0.14,0.97,3
disappear,9,20.96,3.03,8.66,0,,13194,1649.25,VB,686.6,-0.45,1,16
disc,4,2.57,2.12,9.73,2,1,5513,1837.67,NN,589.7,-0.63,0.94,5
disease,7,26.18,3.13,10.05,0,,11965,1994.17,NN,597.06,-0.56,1,31
disgusting,10,26.61,3.13,8.47,0,,25661,2851.22,JJ|VB,697.91,-0.25,0.94,18
dish,4,11.45,2.77,8.89,6,4,5931,1977,NN|VB,608.03,-0.72,0.97,20
dishes,6,11.86,2.78,8.13,4,1,12169,2433.8,NN|VB,578.64,-0.73,1,12
ditch,5,7.86,2.6,7.46,6,5,5810,1452.5,NN|VB,626.84,-0.56,1,6
dive,4,12.82,2.82,9.01,13,5,4651,1550.33,NN|VB,668.88,-0.44,0.97,12
divide,6,5.84,2.48,8.75,1,1,6964,1392.8,VB|NN,651.62,-0.43,1,9
do,2,6135.59,5.5,14.12,7,1,588,588,VB|NN,558,-0.76,0.91,51
doctor,6,263.94,4.13,10.37,0,,6496,1299.2,NN|VB,602.6,-0.7,1,61
doe,3,4.33,2.35,8.45,15,7,734,367,NN,706.57,-0.24,0.85,8
dog,3,192.84,3.99,10.97,13,0,1094,547,NN|VB,555.56,-0.91,0.97,145
doll,4,24.76,3.1,8.65,11,5,3503,1167.67,NN|VB,616.15,-0.6,1,7
dollar,6,27.65,3.15,10.08,1,0,8487,1697.4,NN,589.46,-0.67,1,16
dollars,7,78.39,3.6,10.54,1,0,9956,1659.33,NN,565.97,-0.74,0.94,7
dolphin,7,2.76,2.15,7.4,0,,10502,1750.33,NN,683.29,-0.43,0.94,10
done,4,485.04,4.39,12.07,17,0,7469,2489.67,VB|NN,624.96,-0.59,0.9,23
donkey,6,5.35,2.44,7.87,1,1,6614,1322.8,NN,647.84,-0.6,0.97,8
don't,4,,,,,,,,,,,,19
door,4,292.06,4.17,10.89,6,0,4268,1422.67,NN,507.38,-0.89,0.97,61
dots,4,3.06,2.2,7.93,5,3,2499,833,NN,548.1,-0.73,0.88,2
doughnut,8,4.22,2.33,6.18,0,,4320,617.14,NN,817.06,0.06,0.97,9
down,4,1490.27,4.88,12.59,4,0,1439,479.67,RB|minor|JJ|NN,621.22,-0.51,0.97,81
drain,5,8.63,2.64,9.61,4,2,11320,2830,NN|VB,602.09,-0.63,1,11
draw,4,40.41,3.31,10.19,5,0,3732,1244,VB|NN,580.74,-0.64,0.94,21
dream,5,133.29,3.83,10.39,2,0,7698,1924.5,NN|VB,605.32,-0.63,1,29
dress,5,87.2,3.65,9.42,3,1,10998,2749.5,NN|VB,550.44,-0.75,1,55
drink,5,247.39,4.1,9.9,3,0,10451,2612.75,VB|NN,560.18,-0.73,1,101
drip,4,5.12,2.42,7.21,3,3,3796,1265.33,NN|VB,618.26,-0.54,1,5
drive,5,153.14,3.89,12.05,1,0,6044,1511,NN|VB,575.44,-0.72,0.97,40
driver,6,47.37,3.38,11.14,3,0,12206,2441.2,NN,552.94,-0.73,1,20
driving,7,74.12,3.58,10.02,0,,15724,2620.67,VB|NN,673.44,-0.4,1,5
drop,4,130.61,3.82,10.76,3,0,3290,1096.67,NN|VB,613.19,-0.63,0.97,30
drug,4,45.22,3.36,10.53,3,0,1377,459,NN|VB,572.22,-0.7,0.97,46
drugs,5,48.31,3.39,10.32,2,0,1650,412.5,NN|VB,598.94,-0.58,1,34
drunk,5,76.55,3.59,8.89,3,1,3202,800.5,JJ,588.94,-0.63,0.97,47
dry,3,42.82,3.34,9.87,6,2,1030,515,JJ|VB|RB|NN,596.94,-0.76,1,41
duck,4,24.76,3.1,8.83,11,3,1745,581.67,NN|VB,546.18,-0.8,1,18
dull,4,12.08,2.79,8.44,15,8,3011,1003.67,JJ|VB,669.97,-0.5,1,20
dumb,4,46.96,3.38,9.43,2,0,1419,473,JJ|NN,610.38,-0.58,1,53
dusk,4,1.2,1.79,6.68,9,5,2053,684.33,NN,622.19,-0.6,0.97,3
dust,4,23.84,3.09,9.83,10,2,5392,1797.33,NN|VB,589.06,-0.71,1,21
duty,4,50.96,3.42,9.62,1,0,2003,667.67,NN,602.21,-0.67,0.97,13
ear,3,32,3.21,9.33,11,6,4780,2390,NN,550.1,-0.83,0.88,22
early,5,108.04,3.74,11.24,0,,6607,1651.75,JJ|RB|NN,579.12,-0.8,1,9
earth,5,99.49,3.71,11.03,0,,7106,1776.5,NN|VB,546.8,-0.76,1,41
earthquake,10,6.37,2.51,8.63,0,,9316,1035.11,NN,730.44,-0.25,0.97,12
east,4,49.55,3.4,10.8,10,4,6832,2277.33,NN|JJ|RB,639,-0.62,0.97,6
easy,4,265.71,4.13,11.45,2,0,3494,1164.67,JJ,580.68,-0.62,0.97,51
eat,3,251.88,4.11,10.48,11,1,5996,2998,VB|NN,582.88,-0.85,1,126
egg,3,26.04,3.12,9.61,1,0,673,336.5,NN|VB,565.31,-0.81,1,27
eggs,4,38.65,3.29,9.01,0,,946,315.33,NN|VB,565.68,-0.74,1,24
egypt,5,5.29,2.43,8.61,0,,1046,261.5,NN,617.87,-0.57,1,6
eight,5,98.24,3.7,9.77,7,6,1939,484.75,minor|NN,580.09,-0.73,0.94,8
elect,5,1.41,1.86,7.95,2,0,7591,1897.75,VB|NN|JJ,657,-0.5,0.94,4
electric,8,17.14,2.94,9.89,0,,14445,2063.57,JJ,746.03,-0.07,0.97,16
electricity,11,11.45,2.77,8.52,0,,18310,1831,NN,757.97,-0.2,1,18
elephant,8,11.37,2.76,8.86,0,,14022,2003.14,NN,668.52,-0.41,0.94,19
elevator,8,24.41,3.1,8.08,0,,14398,2056.86,NN,642.63,-0.4,0.94,8
eleven,6,12.98,2.82,8.05,0,,11347,2269.4,minor|NN,625.33,-0.63,0.97,4
embarrass,9,8.82,2.65,6.6,0,,11894,1486.75,VB,816.94,0.1,0.94,11
emergency,9,54.43,3.44,9.5,1,0,15821,1977.63,NN,693.97,-0.27,0.97,8
emotion,7,8.29,2.63,8.42,0,,14771,2461.83,NN,679.33,-0.52,1,16
empire,6,12.67,2.81,9.69,2,0,8061,1612.2,NN,659.64,-0.54,0.97,6
employer,8,5.37,2.44,10.23,2,0,10618,1516.86,NN,620.91,-0.54,1,6
empty,5,47.24,3.38,9.87,0,,2954,738.5,JJ|VB|NN,553.06,-0.81,0.97,36
encourage,9,6.04,2.49,9.69,1,0,15821,1977.63,VB,700.58,-0.38,1,4
end,3,265.86,4.13,12.33,1,1,5578,2789,NN|VB,570.54,-0.72,0.97,77
ending,6,15.92,2.91,9.56,0,,18269,3653.8,VB|NN,601.48,-0.61,0.97,4
enemy,5,48.51,3.39,9.73,1,0,7202,1800.5,NN,598.97,-0.63,0.91,22
energy,6,32.9,3.23,10.98,0,,12694,2538.8,NN,644.61,-0.46,1,29
england,7,35.22,3.25,10.51,0,,15435,2572.5,NN,663.32,-0.5,1,14
english,7,74.06,3.58,11.25,0,,14973,2495.5,JJ|NN,571.09,-0.75,0.97,43
enlarge,7,0.88,1.66,6.66,0,,10441,1740.17,VB,644.69,-0.5,0.97,4
enough,6,501.33,4.41,12.16,0,,7082,1416.4,RB|JJ|NN,688.97,-0.39,1,6
enter,5,29.73,3.18,10.5,1,0,17391,4347.75,VB,576.53,-0.75,0.94,11
environment,11,12.78,2.81,11.17,0,,21034,2103.4,NN,816.82,0.03,0.97,13
erupt,5,0.39,1.32,5.98,0,,7594,1898.5,VB,814.09,-0.07,0.94,2
even,4,875.92,4.65,13.1,3,0,6197,2065.67,RB|JJ|NN|VB,594.27,-0.7,0.91,13
evidence,8,85,3.64,11.04,0,,11540,1648.57,NN,588.66,-0.61,0.97,6
evil,4,73.16,3.57,10.69,0,,2679,893,JJ|NN,579.73,-0.73,0.97,52
exact,5,22.63,3.06,10.16,2,0,3269,817.25,JJ|VB,591.72,-0.67,0.97,11
example,7,29.94,3.18,11.84,0,,6682,1113.67,NN,640.06,-0.48,1,5
excited,7,48.61,3.39,9.03,1,0,12726,2121,VB|JJ,633,-0.63,1,9
excuse,6,368.1,4.27,9.87,1,0,4839,967.8,NN,625.12,-0.51,0.97,15
exercise,8,17.73,2.96,9.88,1,0,13062,1866,NN|VB,605.27,-0.55,0.97,40
exhale,6,1.67,1.93,6.1,0,,8267,1653.4,VB,634.03,-0.45,0.94,3
exit,4,15.57,2.9,10.15,2,0,2926,975.33,NN|VB,543.56,-0.86,1,12
expensive,9,27.94,3.15,10.5,2,0,12589,1573.63,JJ,689.65,-0.43,0.94,42
experiment,10,16.2,2.92,9.49,0,,20942,2326.89,NN,666.91,-0.44,1,23
explain,7,111.18,3.75,10.68,0,,11392,1898.67,VB,586.16,-0.71,1,13
explode,7,9.78,2.7,7.99,1,1,6164,1027.33,VB|NN,689.62,-0.46,1,14
explosion,9,16.49,2.93,8.68,0,,12685,1585.63,NN,733.3,-0.26,0.94,9
extinct,7,2.51,2.11,7.47,0,,14937,2489.5,JJ,669.55,-0.33,0.97,6
extrovert,9,0.1,0.78,3.91,0,,14166,1770.75,NN,781.27,-0.03,0.88,3
eye,3,111.78,3.76,10.62,8,0,418,209,NN|VB,526.19,-0.9,0.97,51
eyes,4,221.55,4.05,10.97,2,0,4907,1635.67,NN|VB,548.15,-0.81,1,40
face,4,289.16,4.17,11.26,11,1,3524,1174.67,NN|VB,551.16,-0.88,0.97,68
fad,3,0.76,1.6,7,14,14,1479,739.5,NN,718.06,-0.16,0.91,4
fail,4,24.59,3.1,9.84,15,3,2779,926.33,VB,692.49,-0.5,1,24
failure,7,20.02,3.01,10.09,0,,9256,1542.67,NN,751.29,-0.43,1,12
faint,5,9.27,2.68,7.83,5,2,11260,2815,JJ|NN|VB,601.63,-0.62,0.97,5
fair,4,94.75,3.68,10.72,5,0,2156,718.67,JJ|NN,552.97,-0.83,1,27
faith,5,46.33,3.37,10.3,0,,4847,1211.75,NN,573.25,-0.8,0.94,16
fake,4,36.33,3.27,8.97,15,7,1657,552.33,JJ|NN|VB,589.8,-0.72,1,46
fall,4,118.51,3.78,10.74,12,3,5109,1703,NN|VB,549.4,-0.82,1,82
false,5,21.14,3.03,0,0,,5938,1484.5,JJ,718.06,-0.16,0.94,
family,6,354.25,4.26,11.39,0,,5721,1144.2,NN,622.03,-0.61,1,56
fantasy,7,16.24,2.92,9.96,0,,10485,1747.5,NN,689.58,-0.5,1,18
far,3,220.76,4.05,12.08,16,1,3393,1696.5,RB|JJ,654.06,-0.47,0.97,38
farm,4,30.04,3.19,9.29,6,4,3976,1325.33,NN|VB,604.67,-0.68,1,38
fashion,7,18.76,2.98,9.5,0,,11375,1895.83,NN|VB,566.38,-0.81,0.97,9
fast,4,137.45,3.85,11.25,11,3,5445,1815,RB|JJ,522.32,-0.84,0.97,85
fat,3,79.43,3.61,10.29,15,6,4609,2304.5,JJ|NN,581.06,-0.76,1,85
father,6,554.49,4.45,10.55,4,1,13843,2768.6,NN|VB,656.17,-0.62,1,30
fear,4,69.08,3.55,10.45,12,3,5351,1783.67,NN|VB,588.47,-0.68,1,57
feel,4,627.24,4.5,12,9,0,3175,1058.33,VB|NN,593.65,-0.69,0.97,21
feeling,7,168.18,3.93,10.53,4,0,16737,2789.5,NN|VB,688.36,-0.37,0.97,43
feet,4,120.73,3.79,10.6,8,3,2795,931.67,NN,573.18,-0.54,0.97,35
female,6,31.61,3.21,10.67,0,,9742,1948.4,JJ|NN,588.35,-0.64,0.94,19
fence,5,16.06,2.91,8.57,2,1,7417,1854.25,NN|VB,650.26,-0.47,1,14
few,3,301.82,4.19,12.49,10,1,880,440,JJ|NN|RB,554.88,-0.73,0.94,20
fiction,7,6.08,2.49,9.86,2,0,16122,2687,NN,627,-0.51,0.97,15
field,5,70.2,3.55,11.29,3,0,4116,1029,NN|VB,571.94,-0.69,0.94,42
fight,5,201.08,4.01,10.6,7,4,2429,607.25,NN|VB,566.03,-0.69,0.97,90
fighter,7,12.78,2.81,9.5,2,0,12986,2164.33,NN,649.55,-0.42,0.97,7
film,4,65.25,3.52,10.87,3,1,2337,779,NN|VB,682.97,-0.45,1,18
find,4,830.96,4.63,12.84,13,0,9457,3152.33,VB|NN,619.56,-0.62,0.94,26
finger,6,36.67,3.27,10.53,6,0,18987,3797.4,NN|VB,642.35,-0.62,1,31
finish,6,98.92,3.7,9.82,0,,13267,2653.4,VB|NN,617.59,-0.64,0.97,32
finished,8,83.71,3.63,10.05,2,0,19501,2785.86,VB,639.76,-0.51,1,3
fire,4,215.49,4.04,11.05,13,2,6151,2050.33,NN|VB,545.19,-0.78,1,94
first,5,840.57,4.63,13.16,0,,6643,1660.75,JJ|RB|NN,537.35,-0.78,0.97,37
fish,4,83.49,3.63,10.33,4,1,4854,1618,NN|VB,574.71,-0.79,0.91,90
fishing,7,23.61,3.08,9.18,1,0,16754,2792.33,NN|VB,610.58,-0.51,0.97,18
fist,4,7.35,2.58,8.71,6,3,7124,2374.67,NN,782.29,-0.23,0.91,8
five,4,285.45,4.16,11.05,9,5,3574,1191.33,minor|NN,642.39,-0.46,0.97,11
fix,3,86.78,3.65,10.49,9,2,847,423.5,VB|NN,574.19,-0.68,0.97,48
flag,4,17.49,2.95,9.64,9,1,3276,1092,NN|VB,533.7,-0.78,0.97,32
flakes,6,1.86,1.98,6.9,2,1,8210,1642,NN|VB,653.35,-0.5,1,4
flirt,5,3.92,2.3,6.15,1,1,5033,1258.25,VB|NN,598.7,-0.6,0.97,3
float,5,7.47,2.58,8.63,2,0,6543,1635.75,VB|NN,613.16,-0.65,0.97,15
floor,5,100.63,3.71,10.48,2,0,5622,1405.5,NN|VB,562.79,-0.75,0.97,29
flop,4,2.31,2.08,7.34,8,2,2693,897.67,NN|VB,654.68,-0.45,0.94,2
florida,7,18.39,2.97,10.18,0,,8950,1491.67,NN,567.16,-0.78,0.97,24
flower,6,22.76,3.07,8.75,4,1,9274,1854.8,NN|VB,603.06,-0.69,1,52
flowers,7,47.59,3.39,9,2,0,10743,1790.5,NN|VB,553.45,-0.85,1,13
flute,5,2.12,2.04,8.16,2,0,6391,1597.75,NN,607.41,-0.48,0.97,12
fly,3,85,3.64,10.29,4,0,2017,1008.5,VB|NN,541.7,-0.8,1,65
fog,3,9.45,2.68,8.47,10,5,1096,548,NN|VB,592.16,-0.78,0.94,13
fold,4,8.63,2.64,8.5,11,9,2217,739,NN|VB,598.31,-0.61,0.97,9
folder,6,1.63,1.92,9.68,7,0,10980,2196,NN,573.12,-0.67,0.97,6
follower,8,0.67,1.54,7.22,1,1,12306,1758,NN,800.58,-0.05,0.94,2
food,4,154.43,3.9,11,9,1,2051,683.67,NN,616.88,-0.65,1,325
foot,4,64.92,3.52,10.09,11,3,2421,807,NN|VB,601.42,-0.69,1,39
football,8,37.53,3.28,9.79,0,,7940,1134.29,NN,573.06,-0.71,1,61
for,3,6895.1,5.55,15.42,7,0,3344,1672,minor,595.21,-0.73,0.97,7
force,5,70.67,3.56,11.23,3,0,5408,1352,NN|VB,632.32,-0.63,1,22
foreign,7,22.29,3.06,10.65,0,,9258,1543,JJ,676.24,-0.4,1,21
foresight,9,0.75,1.59,6.49,0,,15702,1962.75,NN,807.76,-0.18,1,4
forest,6,18.88,2.98,9.75,1,0,15940,3188,NN,699.33,-0.48,0.97,28
forever,7,88.8,3.66,9.94,0,,16429,2738.17,RB|NN,655.06,-0.43,0.97,24
forgive,7,76.8,3.59,9.1,1,0,7002,1167,VB,566.67,-0.67,1,14
