"Prime","TargetWord","index","PLength","PSubFreq","PLogSubFreq","PLogHAL","POrthoN","PFreqGreater","PBGSum","PBGMean","PPOS","PELP.LDT.RT","PELP.LDT.Z","PELP.LDT.Acc","Relation1","Relation2","FAS","BAS","CueFanOut","LSA","LDT.200ms.RT","LDT.200ms.Z","LDT.200ms.Acc","LDT.1200ms.RT","LDT.1200ms.Z","LDT.1200ms.Acc","LDT.200ms.RT.Priming","LDT.200ms.Z.Priming","LDT.200ms.Acc.Priming","LDT.1200ms.RT.Priming","LDT.1200ms.Z.Priming","LDT.1200ms.Acc.Priming","TLength","TSubFreq","TLogSubFreq","TLogHAL","TOrthoN","TFreqGreater","TBGSum","TBGMean","TPOS","TELP_LDT_RT","TELP_LDT_Z","TELP_LDT_Acc","TargetFanIn","first","second","root","raw","affix","old","jcn.x","lsa.x","fsg.x","bsg.x","word_1","word_2","distance","CUE","TARGET","FSG","BSG","MSG","OSG","QSS","QFR","QCON","QPS","TSS","TFR","TCON","TPS","cue","target","fsg.y","bsg.y","msg","qcon","tcon","qfr","tfr","jcn.y","lsa.y","X.x","TCosine_Set","Traw_feat_set","Troot_feat_set","X.y","PCosine_Set","Praw_feat_set","Proot_feat_set"
"acid","drug","acid.drug",4,9.96,2.71,9.52,3,0,3296,1098.67,"NN|JJ",615.69,-0.57,0.97,"supraordinate","",0.102,0,15,0.04,572.666666666667,-0.397064506705237,1,725.41935483871,-0.0142312425886533,0.967741935483871,24.0606060606061,0.0105038361184164,0,-142.516129032258,-0.416578017242996,0.032258064516129,4,45.22,3.36,10.53,3,0,1377,459,"NN|VB",572.22,-0.7,0.97,46,NA,NA,0,0,0,NA,NA,NA,NA,NA,"drug","acid",0.810187,"acid","drug",0.102,"0","2E-3","0",15,13,"NULL","N","20","24","5.54","N","acid","drug",0.102,0,0.002,"NULL","5.54",13,24,6.192832,0.039534,1273,4,15,5,26,7,13,5
"acrobat","dancer","acrobat.dancer",7,0.59,1.49,7.8,0,NA,9720,1620,"NN",755.88,-0.16,0.97,"unclassified","",0.026,0,19,0.39,600.484848484849,-0.169192679136009,0.96969696969697,623.6875,-0.287347801078246,1,19.1089015151515,0.0174251865857292,0.0303030303030303,79.0700757575758,0.177648261534907,0,6,16.29,2.92,8,5,3,13209,2641.8,"NN",586.52,-0.53,1,9,"acrobat","dancer",0.197039735114756,0.171718302650372,0.104846487696709,"NULL","17.629222","0.328101","0.026","0","dancer","acrobat",0.900658,"acrobat","dancer",0.026,"0","0","0",19,0,"6.38","N","23","31","5.54","N","acrobat","dancer",0.026,0,0,"6.38","5.54",0,31,17.629222,0.328101,1063,39,26,7,30,19,18,8
"action","verb","action.verb",6,61.08,3.49,11.26,0,NA,14494,2898.8,"NN",566.73,-0.79,1,"functional property","",0.029,0.101,20,0.53,650.709677419355,0.0642698552894207,1,701.21875,0.0467709142372657,0.96875,-5.86592741935488,0.162735303161956,-0.0625,45.1875,-0.279386158684968,0,4,1.06,1.74,7.65,3,2,8335,2778.33,"NN",631.18,-0.7,0.97,6,NA,NA,0,0,0,NA,NA,NA,NA,NA,"verb","action",0.890154,"action","verb",0.029,"0.10100000000000001","0","1.4E-3",20,291,"3","N","10","4","3.17","N","action","verb",0.029,0.101,0,"3","3.17",291,4,15.716104,0.504751,4233,47,15,7,32,145,16,5
"ad","sell","ad.sell",2,13.61,2.84,10.67,8,6,1051,1051,"NN|minor",740.94,-0.3,0.94,"unclassified","",0.033,0,19,0.31,689.5625,0.0141728339021703,0.90625,750.3125,-0.0268110680403552,1,-103.5625,-0.214379159900856,0.03125,49.1391129032259,-0.0755576220419609,-0.0645161290322581,4,92.25,3.67,11.26,11,2,5382,1794,"VB|NN",641.76,-0.54,0.97,22,NA,NA,0,0,0,NA,NA,NA,NA,NA,"sell","ad",0.868316,"ad","sell",0.033,"0","3.0000000000000001E-3","1.2999999999999999E-3",19,11,"NULL","N","14","41","3.38","V","ad","sell",0.033,0,0.003,"NULL","3.38",11,41,19.514861,0.266759,3440,70,13,13,37,19,20,8
"addict","dependent","addict.dependent",6,5.35,2.44,7.54,0,NA,6565,1313,"NN",600.9,-0.7,0.97,"synonym","",0.013,0,9,0.41,696.806451612903,0.335330755802684,0.967741935483871,715.09375,0.0722350106116449,1,-4.16129032258061,-0.0915727730526366,0.032258064516129,-22.4375,-0.0314609696540192,-0.03125,9,2.24,2.06,9.11,1,0,19951,2493.88,"JJ|NN",671.25,-0.42,0.97,4,"addict","dependent",0.3694304458258,0.20194875157628,0.107066173359459,"NULL","15.316047","0.358522","0.013","0","dependent","addict",0.802247,"addict","dependent",0.013,"0","0","9.5999999999999992E-3",9,1,"NULL","N","12","40","NULL","AJ","addict","dependent",0.013,0,0,"NULL","NULL",1,40,15.316047,0.358522,1124,15,19,5,39,46,20,9
"addiction","habit","addiction.habit",9,3.9,2.3,8.14,0,NA,18456,2307,"NN",628.29,-0.46,0.97,"supraordinate","",0.014,0.021,8,0.43,665.96875,-0.078347658477186,0.96875,682.1875,-0.00934359145661223,0.90625,19.4375,-0.0220026118551962,-0.03125,39.75,0.147219228395072,0,5,14.47,2.87,8.78,0,NA,4944,1236,"NN",636.56,-0.57,0.94,11,NA,NA,0,0,0,NA,NA,NA,NA,NA,"habit","addiction",0.623422,"addiction","habit",0.014,"2.1000000000000001E-2","0","3.0000000000000001E-3",8,3,"NULL","N","17","23","3.45","N","addiction","habit",0.014,0.021,0,"NULL","3.45",3,23,17.661916,0.393575,1831,157,16,7,41,9,10,7
"addition","plus","addition.plus",8,7.75,2.6,10.76,1,0,17202,2457.43,"NN",603.63,-0.58,0.91,"synonym","",0.078,0,8,0.44,671.354838709677,-0.20223641430028,0.967741935483871,592.181818181818,-0.41698804326575,0.939393939393939,15.8572825024438,0.208710248592241,0.00195503421309873,93.7869318181819,0.38664975196681,-0.0331439393939394,4,47.04,3.38,11.51,2,0,2826,942,"minor",585.44,-0.68,1,9,"addition","plus",0.580609815538887,0.402263854574883,0.481290079986336,"0.499583116","0","0.364258","0.078","0","plus","addition",0.711098,"addition","plus",0.078,"0","1.0999999999999999E-2","4.5999999999999999E-3",8,142,"3.42","N","4","52","2.1800000000000002","PP","addition","plus",0.078,0,0.011,"3.42","2.18",142,52,0,0.364258,2968,4,12,5,42,49,19,8
"adjective","blue","adjective.blue",9,0.49,1.42,6.95,0,NA,11226,1403.25,"NN",671.35,-0.41,0.94,"supraordinate","",0.014,0,11,0.07,645.5,-0.237389307749555,0.96875,701.15625,-0.222245851275648,0.9375,-87.530303030303,-0.246853898459079,0.03125,-46.96875,0.0704157272291923,0.0625,4,102.39,3.72,11.4,4,0,2164,721.33,"JJ|NN",573.65,-0.78,1,62,NA,NA,0,0,0,NA,NA,NA,NA,NA,"blue","adjective",0.938742,"adjective","blue",0.014,"0","0","0",11,2,"2.92","N","14","143","4.49","N","adjective","blue",0.014,0,0,"2.92","4.49",2,143,17.152953,0.033292,411,88,19,12,43,4,12,5
"adjourn","finish","adjourn.finish",7,1.29,1.83,5.12,0,NA,4733,788.83,"VB",733.67,-0.1,0.94,"synonym","",0.04,0,16,0,649.548387096774,-0.264201903677645,1,688.875,-0.0447710678117618,1,-10.0171370967741,0.173022814238393,-0.03125,51.53125,0.225842271260179,-0.03125,6,98.92,3.7,9.82,0,NA,13267,2653.4,"VB|NN",617.59,-0.64,0.97,32,NA,NA,0,0,0,NA,NA,NA,NA,NA,"finish","adjourn",0.751801,"adjourn","finish",0.04,"0","2.3E-2","4.2700000000000002E-2",16,2,"NULL","V","8","39","2.78","V","adjourn","finish",0.04,0,0.023,"NULL","2.78",2,39,5.580451,-0.019503,1528,5,14,5,44,15,10,6
"adjustment","bra","adjustment.bra",10,3.1,2.2,8.45,0,NA,14967,1663,"NN",652.41,-0.35,0.91,"unclassifed","",0.02,0,14,0.06,746.935483870968,0.547679183004888,1,681.65625,-0.00781030880138941,0.90625,-113.060483870968,-0.437700062029104,-0.15625,146.110416666667,0.444227289496901,-0.0395833333333333,3,10.92,2.75,8.22,2,1,3685,1842.5,"NN",659.28,-0.46,0.94,10,NA,NA,0,0,0,NA,NA,NA,NA,NA,"bra","adjustment",0.825392,"adjustment","bra",0.02,"0","0","0",14,35,"NULL","N","15","0","6.25","N","adjustment","bra",0.02,0,0,"NULL","6.25",35,0,23.072309,0.044656,471,105,22,21,45,38,11,5
"adolescent","juvenile","adolescent.juvenile",10,1.84,1.98,7.33,0,NA,20185,2242.78,"NN|JJ",780.13,0.08,0.97,"synonym","",0.014,0.013,8,0.33,857.03125,0.560155982856328,0.9375,782.1875,0.680245564472701,0.96875,-97.5796370967742,-0.138886871932219,-0.0342741935483871,-34.40625,-0.164143703622042,0,8,5.12,2.42,7.62,0,NA,12292,1756,"JJ",718.22,-0.17,0.97,2,"adolescent","juvenile",0.761265532450196,0.712045556531405,0.370949594598126,"0.721281428","2.437069","0.31405","0.014","0.013","juvenile","adolescent",0.606574,"adolescent","juvenile",0.014,"1.2999999999999999E-2","0","6.2799999999999995E-2",8,18,"5.32","AJ","12","18","NULL","ADJ","adolescent","juvenile",0.014,0.013,0,"5.32","NULL",18,18,2.437069,0.31405,2168,19,16,5,49,22,23,7
"adventure","journey","adventure.journey",9,13.43,2.84,9.46,0,NA,16492,2061.5,"NN",631.23,-0.46,0.94,"synonym","",0.045,0.014,18,0.56,623.3125,-0.177905514218916,0.96875,700.09375,-0.222556462577574,0.96875,5.0625,0.000530904868955739,0,23.2610887096774,-0.0426625380133845,0.03125,7,19.94,3.01,8.81,1,0,6157,1026.17,"NN|VB",641.47,-0.55,1,8,NA,NA,0,0,0,NA,NA,NA,NA,NA,"journey","adventure",0.535119,"adventure","journey",0.045,"1.4E-2","1E-3","2.3900000000000001E-2",18,14,"NULL","N","12","28","NULL","N","adventure","journey",0.045,0.014,0.001,"NULL","NULL",14,28,13.341694,0.483023,2154,13,7,5,53,9,11,5
"advertisement","newspaper","advertisement.newspaper",13,1.2,1.79,8.49,0,NA,29341,2445.08,"NN",798.94,0.05,1,"script","",0.118,0,18,0.57,730.787878787879,0.287951629962934,1,719.625,0.221696152702366,1,32.2433712121212,0.177447246887732,0,57.28125,0.175562600813748,-0.03125,9,23.69,3.08,9.73,0,NA,13321,1665.13,"NN",600.12,-0.56,1,37,NA,NA,0,0,0,NA,NA,NA,NA,NA,"newspaper","advertisement",0.543527,"advertisement","newspaper",0.118,"0","1.6E-2","1.11E-2",18,2,"NULL","N","23","65","6.56","N","advertisement","newspaper",0.118,0,0.016,"NULL","6.56",2,65,17.239299,0.504453,2634,37,17,7,57,4,14,5
"advise","advice","advise.advice",6,12.2,2.79,9.11,1,1,6679,1335.8,"VB",726.86,-0.37,0.94,"unclassifed","",0.02,0,19,0.52,731.21875,0.441714729711156,0.96875,735.09375,0.270650185956252,1,-32.15625,-0.320646082068019,0,1.5625,-0.270594377679804,-0.0625,6,47.98,3.39,10.7,1,0,5813,1162.6,"NN",599.59,-0.67,1,10,"advice","advise",0.464267755126601,0.397018081171953,0.353116289483336,"0.523419319","NULL","NULL","NULL","NULL","advice","advise",0.53084,"advise","advice",0.02,"0","5.0000000000000001E-3","7.3300000000000004E-2",19,10,"NULL","V","20","51","2.08","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,41,24,9,59,241,31,31
"aim","toothpaste","aim.toothpaste",3,14.86,2.88,8.97,9,6,1805,902.5,"NN|VB",646.22,-0.56,0.94,"supraordinate","",0.068,0,13,0.08,647.483870967742,-0.00951170076038392,0.903225806451613,689.71875,0.323538186950529,1,258.016129032258,0.643061084999026,0.0655241935483871,103.0625,0.37575176031525,-0.03125,10,3.14,2.21,6.57,0,NA,15042,1671.33,"NN",641.54,-0.41,1,5,NA,NA,0,0,0,NA,NA,NA,NA,NA,"toothpaste","aim",0.996011,"aim","toothpaste",0.068,"0","0","0",13,37,"3.4","V","13","1","NULL","N","aim","toothpaste",0.068,0,0,"3.4","NULL",37,1,20.579096,0.074926,4039,7,14,6,75,16,12,7
"aircraft","pilot","aircraft.pilot",8,9.45,2.68,9.75,0,NA,6458,922.57,"NN",647.3,-0.41,1,"script","",0.054,0,12,0.8,679.34375,0.0586552536659585,0.9375,580.064516129032,-0.329947922390445,1,-12.2528409090909,-0.0714539882148109,0.0625,64.2792338709677,-0.00176830395841004,0,5,26.67,3.13,9.68,1,0,4627,1156.75,"NN|VB",573.77,-0.81,1,10,"aircraft","pilot",0.612429707201747,0.488032334022208,0.647101068315302,"NULL","12.427609","0.777834","0.054","0","pilot","aircraft",0.467582,"aircraft","pilot",0.054,"0","5.0000000000000001E-3","0.2999",12,70,"NULL","N","8","44","5.95","N","aircraft","pilot",0.054,0,0.005,"NULL","5.95",70,44,12.427609,0.777834,2915,16,17,5,77,42,18,9
"alarm","morning","alarm.morning",5,29.84,3.18,8.63,0,NA,8631,2157.75,"NN|VB",612.18,-0.55,1,"unclassified","",0.042,0,12,0.49,752.6875,0.34688445913485,1,661.818181818182,-0.142226106562489,0.96969696969697,-72.9602272727273,-0.297490742951326,0,-16.8494318181819,-0.00701862606139717,0.0303030303030303,7,439,4.35,10.5,1,0,16523,2753.83,"NN",596.39,-0.68,0.97,28,"alarm","morning",0.352524155540583,0.354956299257894,0.321141602739662,"NULL","14.197689","0.440926","0.042","0","morning","alarm",0.754663,"alarm","morning",0.042,"0","1E-3","0",12,16,"4.8600000000000003","N","18","211","5.1100000000000003","N","alarm","morning",0.042,0,0.001,"4.86","5.11",16,211,14.197689,0.440926,2546,19,16,8,81,135,21,11
"alcohol","drink","alcohol.drink",7,16.57,2.93,9.56,0,NA,8157,1359.5,"NN",668.84,-0.47,0.97,"supraordinate","",0.151,0.049,12,0.79,672.030303030303,-0.2633832754935,1,635.9375,-0.34084163793314,1,-75.5757575757575,-0.138086256935137,-0.0303030303030303,-5.87298387096769,-0.105939913055198,0,5,247.39,4.1,9.9,3,0,10451,2612.75,"VB|NN",560.18,-0.73,1,101,NA,NA,0,0,0,NA,NA,NA,NA,NA,"drink","alcohol",0.475699,"alcohol","drink",0.151,"4.9000000000000002E-2","5.5E-2","3.2099999999999997E-2",12,13,"6.87","N","20","82","4.95","V","alcohol","drink",0.151,0.049,0.055,"6.87","4.95",13,82,0.336332,0.743693,1263,204,23,23,83,25,15,5
"algae","pool","algae.pool",5,0.43,1.36,7.73,0,NA,3790,947.5,"NN",726.81,-0.03,0.82,"script","",0.041,0,16,0.18,555,-0.527856118277505,1,620.290322580645,-0.228508533778408,0.967741935483871,30.3125,0.0679982584836142,0,64.0967741935484,-0.226580289076673,0.032258064516129,4,46.98,3.38,9.69,9,3,3299,1099.67,"NN|VB",581.06,-0.74,1,31,NA,NA,0,0,0,NA,NA,NA,NA,NA,"pool","algae",0.783315,"algae","pool",0.041,"0","2E-3","1.5100000000000001E-2",16,7,"NULL","N","13","111","6.29","N","algae","pool",0.041,0,0.002,"NULL","6.29",7,111,17.515282,0.199612,2991,62,21,8,85,98,10,5
"alive","live","alive.live",5,154.47,3.9,9.9,3,0,8586,2146.5,"JJ",603.16,-0.61,0.94,"synonym","",0.02,0.028,14,0.36,584,-0.567883411596314,0.967741935483871,676.625,-0.0879742271257187,0.9375,41.65625,0.443904380117717,-0.030241935483871,-49.0625,-0.260523002931132,0.0625,4,344.59,4.24,11.76,11,5,5522,1840.67,"VB",629.89,-0.51,1,21,"alive","live",0.451665406915071,0.251361972236465,0.554508738744909,"0.52452751","NULL","NULL","0.02","0.028","live","alive",0.572053,"alive","live",0.02,"2.8000000000000001E-2","4.0000000000000001E-3","5.8000000000000003E-2",14,57,"3.35","AJ","18","177","4.32","V",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2318,14,12,5,87,138,10,5
"alligator","river","alligator.river",9,3.49,2.25,6.58,0,NA,17162,2145.25,"NN",637.97,-0.51,0.97,"script","",0.024,0,13,0.19,645.90625,-0.0708069215179681,0.96875,716.225806451613,-0.0342727999820035,0.967741935483871,49.59375,0.291606730543015,0,-42.8064516129033,0.0523969163763183,0,5,55.47,3.45,10.21,7,0,11810,2952.5,"NN",605.82,-0.54,1,30,NA,NA,0,0,0,NA,NA,NA,NA,NA,"river","alligator",0.709935,"alligator","river",0.024,"0","2E-3","1.9E-3",13,4,"6.45","N","20","165","5.83","N","alligator","river",0.024,0,0.002,"6.45","5.83",4,165,18.466539,0.152843,3277,32,17,7,92,290,18,17
"almanac","map","almanac.map",7,0.84,1.64,7.23,0,NA,11223,1870.5,"NN",733.74,-0.14,0.84,"category","",0.101,0,18,0.1,628.387096774194,0.0465646770059684,0.935483870967742,697.34375,-0.211946320702288,0.875,-11.9808467741935,-0.111612713508526,0.00201612903225812,77.9788306451613,0.28702697780583,0.092741935483871,3,31.82,3.21,10.16,18,3,2553,1276.5,"NN|VB",586.97,-0.68,1,20,NA,NA,0,0,0,NA,NA,NA,NA,NA,"map","almanac",0.859568,"almanac","map",0.101,"0","2.3E-2","3.8999999999999998E-3",18,1,"NULL","N","16","13","5.53","N","almanac","map",0.101,0,0.023,"NULL","5.53",1,13,15.977248,0.068543,2401,2,17,8,94,2,8,5
"amateur","beginner","amateur.beginner",7,6.55,2.52,9.45,0,NA,12704,2117.33,"NN|JJ",697.79,-0.45,0.97,"synonym","",0.128,0.033,15,0.23,697.625,0.0136388623690282,1,707.733333333333,-0.0946805376697667,1,18.25,0.398409976059972,-0.03125,12.4279569892473,0.0131528335030935,0,8,1.94,2,8.25,0,NA,17568,2509.71,"NN",695.19,-0.38,0.97,4,NA,NA,0,0,0,NA,NA,NA,NA,NA,"beginner","amateur",0.696304,"amateur","beginner",0.128,"3.3000000000000002E-2","1.4E-2","2.18E-2",15,25,"NULL","N","18","1","NULL","N","amateur","beginner",0.128,0.033,0.014,"NULL","NULL",25,1,14.930053,0.226695,342,14,13,5,103,5,7,5
"amount","lot","amount.lot",6,24.75,3.1,11.03,0,NA,8458,1691.6,"NN|VB",644.88,-0.59,1,"synonym","",0.04,0,15,0.11,664.46875,-0.179561965699907,1,682.34375,-0.036516161945726,0.96875,19.9554924242424,0.259978274028199,-0.0303030303030303,-13.4405241935484,0.0950351179398804,-0.0332661290322581,3,569.92,4.46,12.36,16,2,2374,1187,"NN",551.97,-0.78,0.97,38,NA,NA,0,0,0,NA,NA,NA,NA,NA,"lot","amount",0.713373,"amount","lot",0.04,"0","8.0000000000000002E-3","0",15,172,"3.62","N","17","127","4.43","N","amount","lot",0.04,0,0.008,"3.62","4.43",172,127,5.986733,0.089528,2346,7,6,5,111,8,8,5
"amp","electricity","amp.electricity",3,1.82,1.97,9.09,4,0,1823,911.5,"NN",730.88,-0.18,0.73,"unclassified","",0.053,0,19,0.41,687.28125,0.327583376473473,0.96875,810.21875,0.718370950078897,0.96875,150.203598484848,0.867285847891034,0.000946969696969724,40.7167338709677,0.0258215152293838,0.03125,11,11.45,2.77,8.52,0,NA,18310,1831,"NN",757.97,-0.2,1,18,NA,NA,0,0,0,NA,NA,NA,NA,NA,"electricity","amp",0.740191,"amp","electricity",0.053,"0","1.4999999999999999E-2","4.7999999999999996E-3",19,1,"3.19","N","15","26","4.51","N","amp","electricity",0.053,0,0.015,"3.19","4.51",1,26,14.213833,0.350278,1327,21,16,5,112,74,17,7
