"index","TargetWord","Prime","PLength","PSubFreq","PLogSubFreq","PLogHAL","POrthoN","PFreqGreater","PBGSum","PBGMean","PPOS","PELP.LDT.RT","PELP.LDT.Z","PELP.LDT.Acc","Relation1","Relation2","FAS","BAS","CueFanOut","LSA","LDT.200ms.RT","LDT.200ms.Z","LDT.200ms.Acc","LDT.1200ms.RT","LDT.1200ms.Z","LDT.1200ms.Acc","LDT.200ms.RT.Priming","LDT.200ms.Z.Priming","LDT.200ms.Acc.Priming","LDT.1200ms.RT.Priming","LDT.1200ms.Z.Priming","LDT.1200ms.Acc.Priming","TLength","TSubFreq","TLogSubFreq","TLogHAL","TOrthoN","TFreqGreater","TBGSum","TBGMean","TPOS","TELP_LDT_RT","TELP_LDT_Z","TELP_LDT_Acc","TargetFanIn","first","second","root","raw","affix","old","jcn.x","lsa.x","fsg.x","bsg.x","word_1","word_2","distance","CUE","TARGET","FSG","BSG","MSG","OSG","QSS","QFR","QCON","QPS","TSS","TFR","TCON","TPS","cue","target","fsg.y","bsg.y","msg","qcon","tcon","qfr","tfr","jcn.y","lsa.y"
"adventurous.daring","daring","adventurous",11,1.22,1.8,6.97,0,NA,17236,1723.6,"JJ",916.21,0.36,0.91,"synonym","",0.105,0.096,23,0.45,804,0.23530912087425,0.96875,736.205882352941,0.125461992110408,1,-22.375,0.285199035761529,0.03125,-36.2381404174573,-0.06914563061586,0.0645161290322581,6,4.2,2.33,7.32,4,3,17187,3437.4,"JJ|VB|NN",692.29,-0.44,0.97,4,"adventurous","daring",0.453204440190148,0.205869291162518,0.130025448862265,"0.283361025","NULL","NULL","0.105","0.096","daring","adventurous",0.513049,"adventurous","daring",0.105,"9.6000000000000002E-2","0","9.7000000000000003E-3",23,5,"2.46","AJ","25","12","2.42","AJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adverb.adjective","adjective","adverb",6,0.2,1.04,5,1,1,9447,1889.4,"NN",679.62,-0.41,1,"category","",0.274,0.152,12,0.94,714.3125,0.0989101620770436,1,737.548387096774,0.282462535158129,0.967741935483871,162.719758064516,0.515488087790192,0.032258064516129,3.07661290322585,0.303921298076231,-0.001008064516129,9,0.49,1.42,6.95,0,NA,11226,1403.25,"NN",671.35,-0.41,0.94,5,"adjective","adverb",0.202577076013234,0.114078487065268,0.192461970436216,"NULL","3.42222","0.931598","0.152","0.274","adjective","adverb",0.398947,"adverb","adjective",0.274,"0.152","1.2999999999999999E-2","0.10050000000000001",12,1,"3.39","N","11","2","2.92","N","adverb","adjective",0.274,0.152,0.013,"3.39","2.92",1,2,3.42222,0.931598
"adversary.enemy","enemy","adversary",9,1.51,1.89,6.6,0,NA,14989,1873.63,"NN",790.03,-0.1,0.97,"synonym","",0.197,0.01,12,0.42,847.125,0.767510996814949,0.90625,899,0.580495011220273,0.84375,-94.3371212121212,-0.294430695200204,-0.0331439393939394,-149.967741935484,-0.210275442019185,-0.123991935483871,5,48.51,3.39,9.73,1,0,7202,1800.5,"NN",598.97,-0.63,0.91,22,NA,NA,0,0,0,NA,NA,NA,NA,NA,"enemy","adversary",0.4884,"adversary","enemy",0.197,"0.01","7.5999999999999998E-2","4.0300000000000002E-2",12,5,"NULL","N","17","88","4.88","N","adversary","enemy",0.197,0.01,0.076,"NULL","4.88",5,88,0.213829,0.370933
"affair.cheat","cheat","affair",6,29.45,3.18,8.57,0,NA,2791,558.2,"NN",636.61,-0.55,1,"synonym","",0.142,0,19,0.16,605.34375,-0.160070593992898,0.9375,697.606060606061,0.0612758669538769,1,33.3229166666666,0.202917716982169,-0.0625,-10.928641251222,-0.176758865368992,0.0645161290322581,5,17.67,2.96,8.72,4,2,9262,2315.5,"VB|NN",609.76,-0.74,0.97,26,NA,NA,0,0,0,NA,NA,NA,NA,NA,"cheat","affair",0.734651,"affair","cheat",0.142,"0","2.3E-2","6.9999999999999999E-4",19,33,"NULL","N","18","3","3.25","V","affair","cheat",0.142,0,0.023,"NULL","3.25",33,3,15.833307,0.150406
"africa.continent","continent","africa",6,18.76,2.98,9.75,0,NA,7579,1515.8,"NN",683.91,-0.31,0.97,"supraordinate","",0.234,0.169,16,0.63,802.28125,0.444642319714249,0.90625,828.5,0.451677865860657,0.9,68.53125,0.436689653664639,-0.09375,42.71875,0.46835321542742,-0.0375,9,3.67,2.27,8.21,0,NA,30878,3859.75,"NN",787.66,-0.1,0.94,6,"africa","continent",0.142251347299208,0.0592731664986102,0.416676713949286,"0.21551849","2.515527","0.615788","0.234","0.169","africa","continent",0.479027,"africa","continent",0.234,"0.16900000000000001","6.0000000000000001E-3","1.29E-2",16,45,"5.92","N","16","17","NULL","N","africa","continent",0.234,0.169,0.006,"5.92","NULL",45,17,2.515527,0.615788
"after.before","before","after",5,682.59,4.54,12.93,2,0,10949,2737.25,"minor",658.06,-0.58,1,"antonym","",0.571,0.859,10,0.81,577.84375,-0.574734906321533,0.96875,788.65625,0.0530316551498379,1,96.4375,0.306623207778319,0,-171.96875,-0.119886613343563,0,6,794.14,4.61,12.75,0,NA,9191,1838.2,"minor|RB|NN",585.06,-0.62,0.97,10,NA,NA,0,0,0,NA,NA,NA,NA,NA,"after","before",0.285152,"after","before",0.571,"0.85899999999999999","0","0",10,1070,"2.33","PP","4","1016","2.52","ADJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"again.repeat","repeat","again",5,792.71,4.61,12.43,0,NA,9212,2303,"RB",577.24,-0.75,1,"synonym","",0.336,0.289,12,0.33,607.612903225806,0.00397498840404014,0.935483870967742,611.575757575758,-0.216836485435267,1,68.0322580645161,-0.164834098152051,-0.0645161290322581,41,0.302081831846922,0,6,33.02,3.23,10,3,0,12875,2575,"VB|NN",593.3,-0.62,1,13,NA,NA,0,0,0,NA,NA,NA,NA,NA,"again","repeat",0.608908,"again","repeat",0.336,"0.28899999999999998","1E-3","1.6199999999999999E-2",12,578,"NULL","AD","18","26","NULL","V",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"against.for","for","against",7,201.73,4.01,12.06,0,NA,14633,2438.83,"minor",634.15,-0.58,0.97,"antonym","",0.312,0.27,16,0.49,634.741935483871,-0.365484298599503,0.967741935483871,695.575757575758,0.178736273142679,0.909090909090909,-11.804435483871,0.37052513523136,0.061491935483871,-39.4545454545455,-0.00272112690325185,0.0303030303030303,3,6895.1,5.55,15.42,7,0,3344,1672,"minor",595.21,-0.73,0.97,7,NA,NA,0,0,0,NA,NA,NA,NA,NA,"against","for",0.699879,"against","for",0.312,"0.27","1E-3","0",16,626,"NULL","PP","13","9489","2.36","PRP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"age.old","old","age",3,79.2,3.61,11.11,10,2,1995,997.5,"NN|VB",530.91,-0.9,1,"supraordinate","bpa",0.391,0.027,20,0.41,631.09375,-0.12336636865133,0.96875,662.818181818182,-0.27029904104232,1,-20.154356060606,-0.133694058038257,-0.03125,-36.9744318181819,0.0270293538411785,0,3,608.94,4.49,12.38,1,0,1627,813.5,"JJ|NN",636.28,-0.73,0.94,115,NA,NA,0,0,0,NA,NA,NA,NA,NA,"old","age",0.508512,"age","old",0.391,"2.7E-2","4.7E-2","1.7899999999999999E-2",20,227,"4.1399999999999997","N","9","660","3.41","AJ","age","old",0.391,0.027,0.047,"4.14","3.41",227,660,12.290448,0.310571
"agency.company","company","agency",6,19.43,3,10.04,0,NA,7385,1477,"NN",641.97,-0.58,0.94,"synonym","",0.088,0,19,0.19,684.424242424242,-0.0528227930149864,0.96969696969697,595.322580645161,-0.271579170617861,1,18.0909090909091,0.447324587594033,0,167.967741935484,0.478659661518018,0,7,147.2,3.88,11.96,0,NA,9305,1550.83,"NN",582.36,-0.62,0.97,23,"agency","company",0.476176191025409,0.553212442619838,0,"NULL","5.753243","0.099221","0.088","0","company","agency",0.659722,"agency","company",0.088,"0","1.0999999999999999E-2","1.72E-2",19,56,"NULL","N","15","290","4.63","N","agency","company",0.088,0,0.011,"NULL","4.63",56,290,5.753243,0.099221
