where,cue,feature,translated,frequency_feature,
top,adverb,speech,speech,7,
top,adverb,verb,verb,14,
top,adverb,verbs,verb,1,
top,adversary,against,against,4,
top,adversary,enemy,enemy,17,
top,adversary,foe,foe,10,
top,adversary,opponent,opponent,12,
top,adversary,rival,rival,8,
top,advertisement,commercial,commercial,5,
top,advertisement,commercials,commercial,2,
top,advertisement,product,produce,9,
top,advertisement,products,produce,2,
top,advertisement,promotes,promote,1,
top,advertisement,promoting,promote,2,
top,advertisement,promotion,promote,2,
top,advertisement,public,public,3,
top,advertisement,publication,public,1,
top,advertisement,publicity,public,1,
top,advertisement,publicizing,public,1,
top,advertisement,sell,sell,2,
top,advertisement,selling,sell,3,
top,advertisement,sells,sell,1,
top,advice,act,act,2,
top,advice,action,act,11,
top,advice,counsel,counsel,10,
top,advice,counseling,counsel,1,
top,advice,give,give,5,
top,advice,given,give,4,
top,advice,gives,give,1,
top,advice,giving,give,2,
top,advice,guidance,guide,7,
top,advice,guide,guide,11,
top,advice,guiding,guide,1,
top,advice,information,inform,8,
top,advice,informs,inform,2,
top,advice,offer,offer,1,
top,advice,offered,offer,10,
top,advice,openion,opinion,1,
top,advice,opinion,opinion,26,
final,advice,opinion,opinion,27,spelling error fixed
top,advice,react,act,1,
top,advice,recommend,recommend,1,
top,advice,recommendation,recommend,19,
top,advice,recommendations,recommend,1,
top,advice,recommended,recommend,2,
top,advice,suggest,suggest,1,
top,advice,suggestion,suggest,13,
top,advice,suggestions,suggest,2,
top,affair,cheat,cheat,1,
top,affair,cheating,cheat,7,
top,affair,event,event,8,
top,affair,events,event,1,
top,affair,marriage,marry,5,
top,affair,married,marry,2,
top,affair,outside,outside,5,
top,affair,relationship,relate,11,
top,affirm,agree,agree,8,
top,affirm,agreeing,agree,1,
top,affirm,assert,assert,7,
top,affirm,confirm,confirm,26,
top,affirm,confirmation,confirm,1,
top,affirm,confirmed,confirm,2,
top,affirm,state,state,7,
top,affirm,statement,state,3,
top,affirm,truthful,TRUE,1,
top,affirm,TRUE,TRUE,7,
top,africa,continent,continent,50,
top,africa,continents,continent,1,
top,africa,countries,country,5,
top,africa,country,country,16,
top,africa,large,large,4,
top,africa,largest,large,15,
top,africa,people,person,5,
top,africa,peoples,person,3,
top,africa,person,person,2,
top,africa,second,second,17,
top,africa,south,south,14,
top,africa,southward,south,1,
top,after,before,before,17,
top,after,follow,follow,1,
top,after,following,follow,14,
top,after,follows,follow,1,
top,after,late,late,1,
top,after,later,late,18,
top,after,post,post,7,
top,after,time,time,9,
top,again,anew,new,8,
top,again,more,more,42,
top,again,newly,new,3,
top,again,once,once,35,
top,again,over,over,16,
top,again,repeat,repeat,16,
top,again,repeated,repeat,7,
top,again,repeatedly,repeat,7,
top,again,repeating,repeat,2,
top,again,time,time,22,
top,against,agree,agree,4,
top,against,agreeing,agree,1,
top,against,agreement,agree,2,
top,against,anger,anger,3,
top,against,disagree,agree,3,
top,against,disagreeing,agree,2,
top,against,fight,fight,3,
top,against,fighting,fight,3,
top,against,lean,lean,1,
top,against,leaning,lean,4,
top,against,oppose,oppose,4,
top,against,opposed,oppose,3,
top,against,opposes,oppose,1,
top,against,opposing,oppose,7,
top,against,opposition,oppose,3,
top,age,alive,live,8,
top,age,lifetime,time,1,
top,age,lived,live,3,
top,age,number,number,25,
top,age,numbers,number,1,
top,age,old,old,38,
top,age,older,old,1,
top,age,people,person,9,
top,age,person,person,5,
top,age,time,time,19,
top,age,year,year,6,
top,age,years,year,15,
top,age,young,young,27,
top,age,youth,young,1,
top,ageless,age,age,24,
top,ageless,ages,age,3,
top,ageless,aging,age,5,
top,ageless,beautiful,beauty,11,
top,ageless,beauty,beauty,4,
top,ageless,old,old,15,
top,ageless,older,old,4,
top,ageless,time,time,8,
top,ageless,timeless,time,21,
top,ageless,times,time,1,
top,ageless,young,young,33,
top,ageless,youth,young,5,
top,agency,bureau,bureau,4,
top,agency,business,business,7,
top,agency,company,company,10,
top,agency,group,group,9,
top,agency,office,office,5,
top,agenda,calendar,calendar,3,
top,agenda,list,list,15,
top,agenda,motivation,motive,2,
top,agenda,motive,motive,2,
top,agenda,plan,plan,11,
top,agenda,planned,plan,2,
top,agenda,planner,plan,1,
top,agenda,planning,plan,1,
top,agenda,plans,plan,2,
top,agenda,schedule,schedule,11,
top,agree,accept,accept,4,
top,agree,acceptance,accept,2,
top,agree,come,come,5,
top,agree,coming,come,1,
top,agree,opinion,opinion,7,
top,agree,opinions,opinion,1,
top,agree,people,person,3,
top,agree,person,person,2,
top,agree,same,same,9,
top,agree,show,show,2,
top,agree,showing,show,1,
top,agree,shows,show,2,
top,agree,yes,yes,5,
top,agreement,agree,agree,3,
top,agreement,agreed,agree,1,
top,agreement,agreeing,agree,2,
top,agreement,compromise,compromise,10,
top,agreement,contract,contract,10,
top,agreement,contracts,contract,1,
top,agreement,disagreement,agree,3,
top,agreement,people,person,8,
top,agreement,person,person,2,
top,agreement,same,same,12,
top,agriculture,crops,crop,15,
top,agriculture,farm,farm,1,
top,agriculture,farmer,farm,2,
top,agriculture,farmers,farm,1,
top,agriculture,farming,farm,19,
top,agriculture,food,food,7,
top,agriculture,grow,grow,4,
top,agriculture,growing,grow,7,
top,agriculture,growth,grow,1,
top,agriculture,harvest,harvest,2,
top,agriculture,harvesting,harvest,3,
top,agriculture,plant,plant,2,
top,agriculture,planting,plant,6,
top,agriculture,plants,plant,5,
top,ahead,advance,advance,5,
top,ahead,advanced,advance,2,
top,ahead,before,before,15,
top,ahead,behind,behind,11,
top,ahead,front,front,29,
top,ahead,future,future,9,
top,ahoy,greet,greet,1,
top,ahoy,greeting,greet,7,
top,ahoy,greetings,greet,2,
top,ahoy,hello,hello,9,
top,ahoy,pirate,pirate,8,
top,ahoy,pirates,pirate,12,
top,ahoy,sail,sail,1,
top,ahoy,sailing,sail,5,
top,ahoy,sailor,sail,3,
top,ahoy,sailors,sail,8,
top,ahoy,ship,ship,7,
top,ahoy,shipmates,ship,1,
top,ahoy,ships,ship,6,
top,aim,direct,direct,5,
top,aim,direction,direct,5,
top,aim,goal,goal,12,
top,aim,gun,gun,6,
top,aim,guns,gun,2,
top,aim,intend,intend,2,
top,aim,intends,intend,1,
top,aim,intent,intend,2,
top,aim,point,point,8,
top,aim,shoot,shoot,2,
top,aim,shooting,shoot,3,
top,aim,target,target,8,
top,air,breath,breath,22,
top,air,breathe,breath,29,
top,air,breathed,breath,5,
top,air,breathes,breath,1,
top,air,breathing,breath,4,
top,air,cold,cold,16,
top,air,hot,hot,12,
top,air,life,life,13,
top,air,o2,oxygen,1,
top,air,oxygen,oxygen,28,
top,air,oxygenate,oxygen,1,
top,aircraft,air,air,8,
top,aircraft,airplane,airplane,8,
top,aircraft,airplanes,airplane,3,
top,aircraft,blimp,blimp,5,
top,aircraft,flies,fly,6,
top,aircraft,flight,fly,5,
top,aircraft,fly,fly,1,
top,aircraft,flying,fly,4,
top,aircraft,helicopter,helicopter,7,
top,aircraft,helicopters,helicopter,2,
top,aircraft,jet,jet,8,
top,aircraft,jets,jet,1,
top,aircraft,plane,plane,6,
top,aircraft,planes,plane,1,
top,aircraft,transportation,transport,4,
top,aircraft,transporter,transport,1,
top,aircraft,transports,transport,2,
top,aircraft,vehicle,vehicle,5,
top,airplane,big,big,14,
top,airplane,carries,carry,9,
top,airplane,carry,carry,2,
top,airplane,engine,engine,8,
top,airplane,engines,engine,9,
top,airplane,flies,fly,26,
top,airplane,flight,fly,4,
top,airplane,flown,fly,1,
top,airplane,fly,fly,12,
top,airplane,flying,fly,6,
top,airplane,flys,fly,7,
top,airplane,large,large,16,
top,airplane,metal,metal,11,
top,airplane,metals,metal,1,
top,airplane,passenger,passage,2,
top,airplane,passengers,passage,13,
top,airplane,people,person,28,
top,airplane,pilot,pilot,16,
top,airplane,pilots,pilot,5,
top,airplane,run,run,2,
top,airplane,runs,run,12,
top,airplane,seat,seat,1,
top,airplane,seatbelts,seat,1,
top,airplane,seating,seat,1,
top,airplane,seats,seat,8,
top,airplane,transport,transport,3,
top,airplane,transportation,transport,10,
top,airplane,transports,transport,4,
top,airplane,travel,travel,16,
top,airplane,travels,travel,3,
top,airplane,wing,wing,1,
top,airplane,wings,wing,32,
top,airport,airplane,airplane,7,
top,airport,airplanes,airplane,9,
top,airport,land,land,10,
top,airport,landing,land,1,
top,airport,off,off,8,
top,airport,place,place,13,
top,airport,places,place,1,
top,airport,planes,plane,11,
top,airport,take,take,8,
top,airport,takeoff,take,1,
top,airport,travel,travel,7,
top,airport,travelers,travel,1,
top,airshaft,air,air,35,
top,airshaft,airplane,airplane,13,
top,airshaft,airplanes,airplane,1,
top,airshaft,plane,plane,6,
top,airshaft,planes,plane,1,
top,airshaft,vent,vent,6,
top,airshaft,ventilation,ventilate,8,
top,airshaft,vents,vent,1,
top,alarm,alert,alert,4,
top,alarm,alerted,alert,1,
top,alarm,alerting,alert,1,
top,alarm,alerts,alert,1,
top,alarm,clock,clock,8,
top,alarm,clocks,clock,1,
top,alarm,danger,danger,5,
top,alarm,loud,loud,8,
top,alarm,noise,noise,5,
top,alarm,people,person,4,
top,alarm,peoples,person,1,
top,alarm,siren,siren,5,
top,alarm,sound,sound,4,
top,alarm,sounding,sound,1,
top,alarm,sounds,sound,2,
top,alarm,up,up,11,
top,alarm,wake,wake,6,
top,alarm,wakes,wake,5,
top,alarm,wakeup,wake,1,
top,alarm,warn,warn,2,
top,alarm,warning,warn,6,
top,album,book,book,7,
top,album,cd,cd,5,
top,album,collection,collect,9,
top,album,container,contain,1,
top,album,containing,contain,2,
top,album,contains,contain,2,
