type,TargetWord,Prime,jcn,root,raw,affix,PLength,PSubFreq,PLogSubFreq,PLogHAL,POrthoN,PFreqGreater,PBGSum,PBGMean,PPOS,PELP LDT RT,PELP LDT Z,PELP LDT Acc,Relation1,Relation2,FAS,BAS,PCueFanOut,LSA,LDT 200ms RT,LDT 200ms Z,LDT 200ms Acc,LDT 1200ms RT,LDT 1200ms Z,LDT 1200ms Acc,LDT 200ms RT Priming,LDT 200ms Z Priming,LDT 200ms Acc Priming,LDT 1200ms RT Priming,LDT 1200ms Z Priming,LDT 1200ms Acc Priming,ELP NT RT,ELP NT Z,ELP NT Acc,NT 200ms RT,NT 200ms Z,NT 200ms Acc,NT 1200ms RT,NT 1200ms Z,NT 1200ms Acc,NT 200ms RT Priming,NT 200ms Z Priming,NT 200ms Acc Priming,NT 1200ms RT Priming,NT 1200ms Z Priming,NT 1200ms Acc Priming,TLength,TSubFreq,TLogSubFreq,TLogHAL,TOrthoN,TFreqGreater,TBGSum,TBGMean,TPOS,TELP_LDT_RT,TELP_LDT_Z,TELP_LDT_Acc,TTargetFanIn,combined, MSG, OSG, QSS, TSS,bow_cos,f_ldt_RT_ELP,f_ldt_Z_ELP,f_ldt_acc_ELP,f_name_RT_ELP,f_name_Z_ELP,f_name_acc_ELP,t_ldt_RT,t_ldt_Z,t_ldt_acc,t_name_RT,t_name_Z,t_name_acc,BEAGLE_RPs,BEAGLE_PMI,BEAGLEcosine,BEAGLEWIKININ,BEAGLEWIKICosine
first_assoc,act,PERFORM,1.48,0,0,0,7,16.1,2.91,10.11,0,,11886,1981,VB,706.65,-0.34,1,synonym,,0.291,0.02,15,0.2,613.53125,-0.282844141,0.9375,701.28125,-0.288126296,0.96875,0.71875,0.053218143,-0.03125,-107.3125,-0.068475614,0,639.42,-0.4,1,528.3571429,-0.414365284,0.964285714,472.6,-0.422611038,1,-5.079365079,0.090063623,-0.035714286,5.768421053,-0.052779681,0.026315789,3,109.12,3.75,11.19,5,0,2603,1301.5,NN|VB,635.18,-0.56,1,28,actPERFORM,0.001,0.0103,16,15,0.612506,706.65,-0.34,1,639.42,-0.4,1,635.18,-0.56,1,626.69,-0.43,1,0.1685,0.1742,0.3527,253,0.4024
first_assoc,action,REACTION,2.35,0.39,0.39,0.01,8,16.27,2.92,9.72,0,,20851,2978.71,NN,610.3,-0.56,0.97,unclassified,,0.103,0.094,21,0.14,662.875,-0.046793459,0.96875,612.7096774,-0.30316577,1,-45.40625,-0.230477685,0,193.516129,0.397531642,0.032258065,608.42,-0.61,1,510.047619,-0.184726833,1,490.76,-0.368731173,1,-7.400560224,-0.203605417,0.029411765,30.52205128,0.25649469,0.025641026,6,61.08,3.49,11.26,0,,14494,2898.8,NN,566.73,-0.79,1,31,actionREACTION,0,0,20,21,0.68846,610.3,-0.56,0.97,608.42,-0.61,1,566.73,-0.79,1,575.89,-0.73,1,0.2926,0.2014,0.3865,124,0.4502
first_assoc,active,HYPER,,0.37,0.37,0.33,5,0.88,1.6628,,0,,,,,,,,synonym,fpa,0.295,0.02,19,-0.02,730.03125,0.053489399,1,662.6875,-0.452924527,1,-15.78125,0.050053151,0,0.118951613,0.67513559,0,,,,575.6176471,-0.13593354,0.970588235,501.7222222,-0.226414773,1,-41.41764706,-0.04062273,-0.029411765,25.79292929,0.008859973,0,6,11.45,2.77,10.48,0,,10154,2030.8,JJ,632.74,-0.59,1,10,activeHYPER,0.001,0.0016,21,19,0.833399,NA,NA,NA,NA,NA,NA,632.74,-0.59,1,558.29,-0.78,0.96,0.0038,0.1322,NA,NA,0.2989
first_assoc,actor,ACTRESS,0.85,0.55,0.55,0.3,7,16.02,2.91,8.52,0,,14893,2482.17,NN,687.53,-0.49,1,category,,0.507,0.578,11,0.59,640.65625,-0.119594822,0.96875,679.1818182,-0.280668254,0.96969697,-55.59564394,-0.20577014,-0.03125,-20.47214076,-0.031321122,-0.03030303,611.85,-0.56,0.96,528.1875,-0.091435784,1,519.1111111,-0.230946377,1,-39.99702381,-0.062574483,0,-48.56111111,-0.283951701,0,5,26.33,3.13,9.26,0,,6723,1680.75,NN,539.97,-0.83,0.97,25,actorACTRESS,0.001,0.0066,14,11,0.275584,687.53,-0.49,1,611.85,-0.56,0.96,539.97,-0.83,0.97,555.71,-0.74,1,0.1482,10.8915,0.206,53,0.957
first_assoc,actress,ACTOR,0.85,0.55,0.55,0.3,5,26.33,3.13,9.26,0,,6723,1680.75,NN,539.97,-0.83,0.97,category,,0.578,0.507,14,0.59,666.1875,-0.046054202,0.96875,658.5483871,0.135308584,1,50.57007576,0.257329245,-0.00094697,17.70967742,0.034545653,0.096774194,555.71,-0.74,1,528.1538462,-0.150753372,1,553.037037,-0.116780899,1,21.84615385,0.191311327,0.033333333,-63.72934473,-0.182979877,0,7,16.02,2.91,8.52,0,,14893,2482.17,NN,687.53,-0.49,1,3,actressACTOR,0.001,0.0066,11,14,0.275584,539.97,-0.83,0.97,555.71,-0.74,1,687.53,-0.49,1,611.85,-0.56,0.96,0.1482,10.8902,0.206,786,0.957
first_assoc,add,SUM,0,0.36,0.36,0.36,3,10.25,2.72,9.52,10,3,1490,745,NN|VB,663.42,-0.27,1,synonym,,0.284,0.017,11,0.25,618.15625,-0.437182963,0.9375,681.0588235,-0.310194954,0.970588235,5.1875,0.094381835,-0.03125,5.753676471,0.11626383,0.001838235,642.07,-0.37,1,523.0588235,-0.194019504,1,631,0.284702471,1,-17.54030501,-0.168459511,0,-133.3214286,-0.597495844,0.035714286,3,33.06,3.23,11.64,6,1,1257,628.5,VB,657.55,-0.58,1,28,addSUM,0,0.0005,11,11,0.797365,663.42,-0.27,1,642.07,-0.37,1,657.55,-0.58,1,579.57,-0.66,1,0.0526,0.2611,0.2688,573,0.4028
first_assoc,addition,SUBTRACTION,5.04,0.4,0.4,0.25,11,0.2,1.04,5.95,0,,20576,2057.6,NN,807.33,0.07,0.97,antonym,,0.507,0.621,7,0.26,725.3125,0.367957748,0.96875,675.8709677,0.241689545,0.967741935,-56.5,-0.045779217,0,130.7419355,-0.03217085,0,704.11,-0.03,1,541,0.277066213,0.85,538.6666667,-0.012740852,1,12.59459459,-0.089225383,-0.122972973,42.02564103,0.323034242,0,8,7.75,2.6,10.76,1,0,17202,2457.43,NN,603.63,-0.58,0.91,6,additionSUBTRACTION,0,0.0184,8,7,0.802502,807.33,0.07,0.97,704.11,-0.03,1,603.63,-0.58,0.91,718.68,-0.24,1,0.0658,7.5455,0.1317,173,0.2363
first_assoc,adjective,ADVERB,3.42,0.07,0.07,0.07,6,0.2,1.04,5,1,1,9447,1889.4,NN,679.62,-0.41,1,category,,0.274,0.152,12,0.94,714.3125,0.098910162,1,737.5483871,0.282462535,0.967741935,162.7197581,0.515488088,0.032258065,3.076612903,0.303921298,-0.001008065,632.71,-0.39,1,635.8181818,0.445480993,0.954545455,609.7241379,0.405535556,0.896551724,129.8660287,1.646029543,0.270334928,26.42401022,0.425171257,0.155810983,9,0.49,1.42,6.95,0,,11226,1403.25,NN,671.35,-0.41,0.94,5,adjectiveADVERB,0.006,0.1005,11,12,0.398947,679.62,-0.41,1,632.71,-0.39,1,671.35,-0.41,0.94,749.14,0.25,0.75,0.5473,154.2042,0.6915,3,0.708
first_assoc,adolescent,PUBERTY,24.36,0.31,0.31,0.2,7,2.2,2.05,6.92,0,,9498,1583,NN,667.24,-0.45,0.97,script,,0.138,0.041,24,0.56,671.5,0.398484822,0.96875,861.3225806,0.816279706,0.935483871,146.09375,0.292133117,0.0625,-15.85591398,-0.395826834,0.035483871,670.78,-0.19,1,604.1071429,0.551296033,1,565.59375,0.234023015,1,4.464285714,0.131751727,0.057142857,5.175480769,0.488216565,0.025641026,10,1.84,1.98,7.33,0,,20185,2242.78,NN|JJ,780.13,0.08,0.97,9,adolescentPUBERTY,0,0.0385,8,24,0.584656,667.24,-0.45,0.97,670.78,-0.19,1,780.13,0.08,0.97,689.15,-0.19,1,0.1789,7.5265,0.3292,14,0.5376
first_assoc,adventure,EXPLORER,19.32,0.36,0.36,0.33,8,1.9,1.99,8.68,2,0,16486,2355.14,NN,619.15,-0.65,1,unclassified,,0.196,0,20,0.37,620.5,-0.227352857,0.90625,727.9375,0.060509804,1,130.625,0.404493035,-0.03125,13.41544118,-0.138368586,0.029411765,670.93,-0.24,0.96,628.7857143,-0.049064427,1,593.8888889,0.24128501,1,-117.3241758,-0.068929681,0,-53.28174603,-0.318800512,0,9,13.43,2.84,9.46,0,,16492,2061.5,NN,631.23,-0.46,0.94,10,adventureEXPLORER,,,,,0.743116,619.15,-0.65,1,670.93,-0.24,0.96,631.23,-0.46,0.94,629.75,-0.47,1,0.1141,0.2918,0.2144,543,0.3256
first_assoc,advice,SUGGEST,,0,0,0,7,39.24,3.3,10.83,0,,10681,1780.17,VB,630.97,-0.64,0.97,synonym,,0.072,0,23,0.32,599.8787879,-0.191207276,0.96969697,700.3548387,-0.079781382,1,76.52746212,0.240070252,-0.03030303,74.02016129,0.116518771,0.0625,661.56,-0.18,1,605.3529412,0.158905015,1,586.1,0.200827696,1,-49.05664488,-0.104638356,0,23.19166667,-0.156696448,0,6,47.98,3.39,10.7,1,0,5813,1162.6,NN,599.59,-0.67,1,10,adviceSUGGEST,,,,,0.774004,630.97,-0.64,0.97,661.56,-0.18,1,599.59,-0.67,1,547.04,-0.75,1,0.1612,0.1626,0.3126,1511,0.5409
first_assoc,africa,CONTINENT,2.52,0.14,0.14,0.06,9,3.67,2.27,8.21,0,,30878,3859.75,NN,787.66,-0.1,0.94,supraordinate,,0.169,0.234,16,0.63,741.5806452,0.168270846,1,656.65625,0.021955968,0.9375,29.07560484,-0.080070262,0,151.59375,0.591882142,-0.03125,741.9,0.14,0.78,515.9393939,-0.019346465,1,527.3103448,-0.101220434,1,-7.41307815,-0.480519314,0,-16.56960409,-0.001237898,0,6,18.76,2.98,9.75,0,,7579,1515.8,NN,683.91,-0.31,0.97,15,africaCONTINENT,0.006,0.0129,16,16,0.479027,787.66,-0.1,0.94,741.9,0.14,0.78,683.91,-0.31,0.97,555,-0.67,1,0.3225,1.371,0.7589,2,0.5814
first_assoc,after,BEFORE,,0.09,0.09,0.1,6,794.14,4.61,12.75,0,,9191,1838.2,minor|RB|NN,585.06,-0.62,0.97,antonym,,0.859,0.571,4,0.81,619.5757576,-0.154514864,1,754.625,-0.216983107,0.96875,63.58553275,0.019793097,0.032258065,-105.6856061,0.045252338,-0.00094697,665.57,-0.37,1,496.6857143,-0.453862533,0.971428571,497.1923077,-0.31192723,1,,,,-82.62087912,-0.161648594,0.071428571,5,682.59,4.54,12.93,2,0,10949,2737.25,minor,658.06,-0.58,1,13,afterBEFORE,0,0,10,4,0.285152,585.06,-0.62,0.97,665.57,-0.37,1,658.06,-0.58,1,568.04,-0.74,1,0.5808,0.1151,NA,NA,NA
first_assoc,again,REPEAT,,0.08,0.08,0.08,6,33.02,3.23,10,3,0,12875,2575,VB|NN,593.3,-0.62,1,synonym,,0.289,0.336,18,0.33,671.625,-0.275997675,0.96875,637.40625,-0.297463063,1,-79.4375,0.039216963,0,-13.37399194,0.225724579,0.032258065,602.83,-0.56,1,555.25,-0.154839115,1,527.7142857,-0.145993416,1,19.15,0.201309489,0.05,31.82417582,-0.026030235,0.038461538,5,792.71,4.61,12.43,0,,9212,2303,RB,577.24,-0.75,1,19,againREPEAT,0.001,0.0162,12,18,0.608908,593.3,-0.62,1,602.83,-0.56,1,577.24,-0.75,1,606.42,-0.64,1,0.2046,0.3353,NA,NA,NA
first_assoc,against,FOR,,0,0,0,3,6895.1,5.55,15.42,7,0,3344,1672,minor,595.21,-0.73,0.97,antonym,,0.27,0.312,13,0.49,730.6875,0.110585273,0.96875,766.875,0.262954382,1,9.40625,-0.087695609,0,-6.904411765,-0.00322114,0.029411765,588.9,-0.58,1,625.4285714,-0.013943223,1,506.5,-0.031227407,1,-125.7098214,-0.356289144,0.03125,115.22,0.366246037,0,7,201.73,4.01,12.06,0,,14633,2438.83,minor,634.15,-0.58,0.97,25,againstFOR,0.001,0,16,13,0.699879,595.21,-0.73,0.97,588.9,-0.58,1,634.15,-0.58,0.97,664.27,-0.31,1,0.2421,0.0818,NA,NA,NA
first_assoc,age,YEARS,0,0.21,0.21,0.23,5,568.69,4.46,12.76,10,0,6431,1607.75,NN,558.39,-0.78,0.97,category,,0.19,0,12,0.53,619.46875,-0.311814932,1,636.6875,-0.077252279,0.875,24.3125,0.024892595,0,11.67916667,-0.291123301,-0.125,608.43,-0.38,1,525.3333333,-0.383773911,1,463.8421053,-0.218512844,1,-18.71428571,0.139609014,0,9.49122807,-0.16240364,0,3,79.2,3.61,11.11,10,2,1995,997.5,NN|VB,530.91,-0.9,1,21,ageYEARS,,,,,0.514945,558.39,-0.78,0.97,608.43,-0.38,1,530.91,-0.9,1,591.43,-0.58,1,0,0.6162,NA,NA,NA
first_assoc,agreement,CONTRACT,1.08,0.35,0.35,0.07,8,32.35,3.22,10.76,1,0,17498,2499.71,NN,660.91,-0.48,0.97,synonym,,0.212,0.151,17,0.7,682.9354839,-0.112274915,0.967741935,631.03125,-0.031677539,0.96875,17.22580645,0.078796497,-0.032258065,38.125,-0.01773098,-0.03125,652.56,-0.26,1,523.7857143,0.126144714,1,596,0.444367223,1,9.241312741,-0.26680614,0,-7.92,0.23946318,0,9,17.49,2.95,10.07,0,,16530,2066.25,NN,668.3,-0.43,0.91,9,agreementCONTRACT,0,0.0003,17,17,0.432756,660.91,-0.48,0.97,652.56,-0.26,1,668.3,-0.43,0.91,620.46,-0.46,1,0.2862,0.7657,0.4896,4,0.6759
first_assoc,air,FAN,12.94,0,0,0,3,35.14,3.25,10.53,14,6,3911,1955.5,NN|VB,546.82,-0.82,0.97,instrument,,0.236,0,17,0.31,658.25,-0.08436793,1,616.46875,-0.224364724,1,-31.59375,-0.203292959,0.09375,23.06458333,-0.07512902,0,608.29,-0.57,1,535.9487179,-0.280979694,1,492,-0.206974885,1,7.537768538,-0.038043738,0,-6.4,-0.198898603,0,3,139.02,3.85,11.3,5,0,1728,864,NN|VB,589.8,-0.71,1,78,airFAN,,,,,0.789949,546.82,-0.82,0.97,608.29,-0.57,1,589.8,-0.71,1,587.54,-0.76,1,0.1305,0.1164,0.3367,17,0.3004
first_assoc,airplane,FLYING,18.23,0.18,0.18,0.2,6,50.57,3.41,10.26,0,,12975,2595,VB|NN,558.38,-0.81,1,functional property,,0.434,0,14,0.78,694.9375,0.169447109,1,644.8387097,0.071886556,1,-47.5,-0.100839491,0,75.47379032,0.167554877,0,619.93,-0.41,1,511.56,-0.090807815,1,544.7058824,-0.168331292,1,23.89,0.117146178,0,-25.81699346,0.050133466,0,8,10.92,2.75,8.46,0,,10550,1507.14,NN,677.47,-0.37,0.97,23,airplaneFLYING,,,,,0.461211,558.38,-0.81,1,619.93,-0.41,1,677.47,-0.37,0.97,562.19,-0.77,1,0.2012,1.6648,0.5018,13,0.7363
first_assoc,alcohol,DRUNK,12.92,0.37,0.37,0.09,5,76.55,3.59,8.89,3,1,3202,800.5,JJ,588.94,-0.63,0.97,unclassified,,0.126,0.11,19,0.81,613,-0.313796068,0.96969697,715.28125,-0.160209395,1,120.25,0.555878298,-0.03030303,-24.375,0.130341624,0,595.79,-0.64,1,524.25,-0.382913416,1,477.4761905,-0.319636129,1,38.75,0.557414908,0,-3.021645022,0.288336144,0,7,16.57,2.93,9.56,0,,8157,1359.5,NN,668.84,-0.47,0.97,44,alcoholDRUNK,0.036,0.0357,12,19,0.496009,588.94,-0.63,0.97,595.79,-0.64,1,668.84,-0.47,0.97,585.64,-0.57,1,0.2032,3.4914,0.3194,176,0.4936
first_assoc,alert,AWARENESS,15.04,0.1,0.1,0.13,9,2.25,2.06,8.96,0,,20548,2568.5,NN,661.26,-0.47,1,synonym,,0.223,0,17,0.24,601.40625,-0.307361515,0.96875,634.5806452,-0.116296856,0.967741935,78.71875,0.30769185,0,35.90322581,0.389722816,0.064516129,589.38,-0.57,1,507.2307692,-0.25655316,1,513.75,-0.213756238,0.96875,-19.28076923,0.005139255,0,2.815217391,0.078194665,-0.03125,5,20.61,3.02,9.1,1,0,13645,3411.25,JJ|NN|VB,582.75,-0.7,0.97,12,alertAWARENESS,,,,,0.759982,661.26,-0.47,1,589.38,-0.57,1,582.75,-0.7,0.97,541.27,-0.87,0.96,0.0616,0.6233,0.2501,1398,0.3883
first_assoc,alive,DEAD,,0.28,0.28,0.31,4,448.98,4.36,11.2,10,3,5467,1822.33,JJ|NN|RB,593.8,-0.74,1,antonym,,0.398,0.554,18,0.52,617.5625,-0.453528639,0.9375,565.7096774,-0.333529873,1,0.75,0.271143865,0.03125,59.72782258,0.146176892,0,603.44,-0.41,1,474.44,-0.496137528,1,584.45,-0.367163281,1,63.16,0.476910573,0,-117.45,0.037316564,0.029411765,5,154.47,3.9,9.9,3,0,8586,2146.5,JJ,603.16,-0.61,0.94,21,aliveDEAD,0.024,0.0002,14,18,0.276063,593.8,-0.74,1,603.44,-0.41,1,603.16,-0.61,0.94,566.73,-0.77,1,0.1133,2.7152,0.4737,81,0.8874
first_assoc,all,MOST,,0,0,0,4,350.76,4.25,13.11,10,0,5374,1791.33,RB|JJ,575.85,-0.81,1,unclassified,,0.295,0.02,12,0.69,645.46875,-0.167158943,1,585.0322581,-0.184984759,1,20.375,0.184124305,0,126.2101662,0.184134702,0.03030303,563.54,-0.7,1,495.6052632,-0.316818085,1,567.2058824,-0.271500578,0.941176471,-17.42344498,-0.14307595,0.090909091,-68.93665158,-0.10885765,-0.058823529,3,5161.86,5.42,14.35,5,0,4681,2340.5,minor|RB,592.33,-0.55,0.97,18,allMOST,0,0.0074,12,12,0.631703,575.85,-0.81,1,563.54,-0.7,1,592.33,-0.55,0.97,577.56,-0.72,1,0.2826,0.0887,NA,NA,NA
first_assoc,alligator,CROCODILE,1.99,0,0,0,9,2.25,2.06,6.26,0,,13321,1665.13,NN,742.85,-0.27,1,category,,0.629,0.46,14,0.48,617.8064516,-0.02233743,0.967741935,834.4848485,0.768598207,0.939393939,116.7872984,0.402392495,0.030241935,-128.3880743,-0.359596152,-0.028347996,662.11,-0.32,1,560.4074074,0.190476643,1,549.84,-0.000925002,0.96,38.09259259,-0.32697677,0,-5.79,-0.119759082,-0.04,9,3.49,2.25,6.58,0,,17162,2145.25,NN,637.97,-0.51,0.97,4,alligatorCROCODILE,0,0.0067,13,14,0.526506,742.85,-0.27,1,662.11,-0.32,1,637.97,-0.51,0.97,653.37,-0.43,1,0.1813,24.5265,0.2028,595,0.5545
