TargetWord,Prime,Length,SubFreq,LogSubFreq,LogHAL,OrthoN,FreqGreater,BGSum,BGMean,POS,ELP LDT RT,ELP LDT Z,ELP LDT Acc,Relation1,Relation2,FAS,BAS,CueFanOut,LSA,LDT 200ms RT,LDT 200ms Z,LDT 200ms Acc,LDT 1200ms RT,LDT 1200ms Z,LDT 1200ms Acc,LDT 200ms RT Priming,LDT 200ms Z Priming,LDT 200ms Acc Priming,LDT 1200ms RT Priming,LDT 1200ms Z Priming,LDT 1200ms Acc Priming
mob,CROWD,5,37.37,3.28,9.47,2,0,3657,914.25,NN|VB,663.42,-0.54,0.97,unclassified,,0.067,0.362,15,0.53,668.0625,0.162516212810705,0.875,798.90625,0.819826368264082,0.90625,28.421370967742,0.71255090312245,-0.165322580645161,-117.28125,-0.245692325445207,-0.21875
modern,ANCIENT,7,21.67,3.04,9.81,0,,13954,2325.67,JJ|NN,624.09,-0.58,0.97,antonym,,0.02,0.014,12,0.55,642.125,-0.00646807823845107,1,828.129032258065,0.035106888243507,0.935483870967742,36.358870967742,0.0920700733610785,-0.129032258064516,-161.709677419355,-0.000972040556858962,-0.064516129032258
mold,JELLO,5,0.55,1.46,6.91,3,3,4967,1241.75,NN,681.94,-0.49,0.97,fpa,,0.026,0.02,11,0.02,658.193548387097,0.370643360881511,1,672.0625,0.0859232561054075,0.875,66.8064516129032,0.0525139393088351,-0.032258064516129,-41.03125,-0.0919952752210127,-0.0625
mom,GRANDPARENTS,12,4.2,2.33,7.5,0,,25573,2324.82,NN,724.97,-0.21,1,unclassified,,0.034,0,17,0.17,590.818181818182,-0.280173156511125,1,617.25,-0.253389717692361,0.96875,16.7130681818181,0.0644381226318195,0,112.05303030303,0.490660939905917,-0.0899621212121212
money,OCCUPATION,10,4.12,2.32,8.36,0,,19105,2122.78,NN,731.12,-0.11,0.97,unclassified,,0.014,0,6,0.04,593,-0.420182013464335,1,752.09375,-0.160753750789603,0.96875,69.6666666666666,0.726205874182452,0,-104.8125,-0.0226237691964109,0
monk,FRIAR,5,1.73,1.95,5.5,1,0,7337,1834.25,NN,804,0.01,0.82,script,,0.137,0.016,10,0.29,707.5625,0.151225523087585,0.8125,834.90625,0.490711171196611,0.96875,100.985887096774,0.570382495571457,0.122983870967742,12.96875,-0.116952765719614,-0.1875
monkey,WRENCH,6,3.96,2.31,7.24,4,2,11392,2278.4,VB|NN,637.44,-0.54,0.97,bpa,,0.031,0,17,0.05,599.172413793103,-0.155851763138606,1,673.5625,-0.191660531577312,1,46.3900862068965,0.0627109372025021,0,39.03125,-0.07598161249848,0
monster,PHANTOM,7,4.08,2.32,9,0,,10781,1796.83,NN,730.31,-0.22,0.91,unclassified,,0.014,0,10,0.08,716.78125,0.439522310611164,1,717.806451612903,-0.175779403893018,0.967741935483871,33.21875,-0.0811856851712538,-0.03125,-61.9354838709677,0.0673328291148397,0.032258064516129
monthly,DAILY,5,15.63,2.9,10.57,5,0,4429,1107.25,JJ|NN|RB,581.38,-0.72,0.97,antonym,,0.034,0.079,18,0.21,728.612903225806,0.308638443914847,0.967741935483871,671.71875,0.311712037122451,0.96875,37.7308467741935,-0.159823368410948,-0.030241935483871,10.0625,-0.120152066838342,-0.03125
moon,SUNSET,6,10.31,2.72,8.15,0,,7957,1591.4,NN,612.03,-0.64,0.97,unclassified,,0.028,0,14,0.25,698.375,0.052699416671365,1,704.272727272727,-0.164380519665916,1,-13.6008064516129,-0.21471649372333,-0.032258064516129,13.4242424242425,0.37605284329141,-0.0909090909090909
more,ANOTHER,7,509.22,4.41,12.56,0,,14421,2403.5,minor|NN,608.34,-0.69,1,unclassified,,0.096,0,17,0.64,598.322580645161,-0.144218510958979,0.903225806451613,717.129032258065,-0.239694364477159,0.838709677419355,121.738025415445,0.437411851961001,0.0967741935483871,-38.3548387096774,0.30684095544944,0.096774193548387
