Input.word1,Answer.word1,Input.word2,Answer.word2,Input.word3,Answer.word3,Input.word4,Answer.word4,Input.word5,Answer.word5
Scrap,"a useless object, that is usually thrown away, is garbage, usually metallic,",Wrap,"cover something, can also be a food item,",Britannica,"encyclopedia, similar to wikipedia,",Elimination,"take out of, subtract from, removed from,",Alter,"to change, replace the form of,"
Scrap,"leftover, extra piece of food or cloth, used for quilting or thrown away",Wrap,"a sandwich made by rolling it up in a tortilla, a skirt make by wrapping a piece of cloth around the waste, in movie terms the end of shooting",Britannica,"encyclopedia, the collection of knowledge printing in a many volume set each year until this year when it went exclusively on-line, replaced mostly by googling and wikipedia",Elimination,"getting rid of, ending, stopping, forbidding",Alter,"to change or modify; not to be confused with altar, in a church, the holy table; often done by Mom or a tailor, done when clothes are too big or pants too long, especially with special garments like dresses"
Scrap,scrap: an extra piece of an object such as extra material left over after a sewing project,Wrap,"Wrap: to bound something tightly. presents, leftover food stored in foil",Britannica,Britannica: an encyclopedia. Gives factual information to readers,Elimination,Elimination: to throw something away or discard. waste or garbage,Alter,"Alter: to change something, To make something better or make something new"
Scrap,"Disposed of as useless, a small fragment of something broken off from the whole, Something scraped off",Wrap,"Cloak that is folded or wrapped around a person, enclose or enfold completely with or as if with a covering, to snatch up",Britannica,"Britannica is a general knowledge English-language encyclopaedia, published between 1768 and 1771 in Edinburgh",Elimination,"The act of removing or getting rid of something, the act of expelling or throwing off",Alter,"Cause to change, to change in some respect, to modify"
Scrap,A small piece of waste,Wrap,to place around something,Britannica,The name of an encyclopedia manufacturer,Elimination,To do awaywith,Alter,to change
Scrap,"A piece of meat, usually left over, already cooked",Wrap,"A tortilla with filling, usually chicken and dressing and lettuce",Britannica,An old book type encyclopedia that no one uses anymore,Elimination,"To eliminate, to be taken out or forcefully removed",Alter,"TO change something, whether it be chemistry, physical, aesthetically, or functional."
Scrap,"Scrap is waste material, generally the remainder of material left over when something is built or manufactured, or the waste material of a previously used
item/object that is being discarded.  To Scrap can mean the act of discarding
used material.  To scrap can also mean improvised fighting.",Wrap,"Wrap means to encircle an object with a covering, usually in the form of paper
or plastic sheets.  To Wrap can also mean to finish a task (i.e. wrap up a task
or the phrase ""that's a wrap"")",Britannica,"Britannica refers to a female citizen of the United Kingdom.  It is also part of
the name of a famous encyclopedia.",Elimination,"Elimination means to disqualify from further competition, as in being defeated in
a tournament.   It can also refer to the removal of something unwanted.",Alter,"Alter means to change the appearance or properties of an object.  Alter can also
mean to customize an object to ones needs (i.e. making alterations to a suit)"
Scrap,"leftover, piece, metal",Wrap,"saran, plastic, shawl, blanket, cover",Britannica,"encyclopedia, book, learn",Elimination,"weed out, get rid of, process of",Alter,"change, differ, improve"
Scrap,"Garbage, small piece of something",Wrap,"A type of sandwich, also a verb meaning to cover something with something",Britannica,An encyclopedia.,Elimination,To be withdrawn from something,Alter,Place for candles and prayer
Scrap,a little piece:  a fight: waste material: something small,Wrap,to encase in a material: to end something,Britannica,a kind of encyclopedia:  Pertaining to Britannia.,Elimination,to get rid of: to excrete bodily waste: to kill:,Alter,a worship place: a place of sacrifice: a center of spiritual power: other: different
